File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/101-200-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/306.smp/TCD_AuxRight.channel/TCD_AuxRight.chm
Channel	TCD_AuxRight

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	5
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	30-Apr-25
Injection Time	05:41:33
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	12001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	mV
Signal Min.	-0.376810
Signal Max.	10.098507
Channel	TCD_AuxRight
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.1
Max. Step (s)	0.1
Average Step (s)	0.1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (mV)
0.000000	n.a.	-0.055323
0.001667	0.1	-0.053665
0.003333	0.1	-0.053511
0.005000	0.1	-0.053318
0.006667	0.1	-0.052045
0.008333	0.1	-0.051851
0.010000	0.1	-0.051851
0.011667	0.1	-0.051851
0.013333	0.1	-0.051851
0.015000	0.1	-0.051851
0.016667	0.1	-0.051851
0.018333	0.1	-0.051851
0.020000	0.1	-0.051851
0.021667	0.1	-0.051851
0.023333	0.1	-0.051851
0.025000	0.1	-0.051851
0.026667	0.1	-0.051851
0.028333	0.1	-0.051851
0.030000	0.1	-0.051851
0.031667	0.1	-0.051851
0.033333	0.1	-0.051851
0.035000	0.1	-0.051851
0.036667	0.1	-0.051851
0.038333	0.1	-0.051851
0.040000	0.1	-0.051851
0.041667	0.1	-0.051851
0.043333	0.1	-0.051851
0.045000	0.1	-0.051851
0.046667	0.1	-0.051851
0.048333	0.1	-0.051851
0.050000	0.1	-0.051851
0.051667	0.1	-0.051851
0.053333	0.1	-0.051851
0.055000	0.1	-0.051851
0.056667	0.1	-0.051851
0.058333	0.1	-0.051851
0.060000	0.1	-0.051851
0.061667	0.1	-0.051851
0.063333	0.1	-0.051851
0.065000	0.1	-0.051851
0.066667	0.1	-0.051851
0.068333	0.1	-0.051851
0.070000	0.1	-0.051851
0.071667	0.1	-0.051851
0.073333	0.1	-0.051851
0.075000	0.1	-0.051851
0.076667	0.1	-0.051851
0.078333	0.1	-0.051851
0.080000	0.1	-0.051851
0.081667	0.1	-0.051851
0.083333	0.1	-0.051851
0.085000	0.1	-0.051851
0.086667	0.1	-0.051851
0.088333	0.1	-0.051851
0.090000	0.1	-0.051851
0.091667	0.1	-0.051851
0.093333	0.1	-0.051851
0.095000	0.1	-0.051851
0.096667	0.1	-0.051851
0.098333	0.1	-0.051851
0.100000	0.1	-0.051851
0.101667	0.1	-0.051851
0.103333	0.1	-0.051851
0.105000	0.1	-0.051851
0.106667	0.1	-0.051851
0.108333	0.1	-0.051851
0.110000	0.1	-0.051851
0.111667	0.1	-0.051851
0.113333	0.1	-0.051851
0.115000	0.1	-0.051851
0.116667	0.1	-0.051851
0.118333	0.1	-0.051851
0.120000	0.1	-0.051851
0.121667	0.1	-0.051851
0.123333	0.1	-0.051851
0.125000	0.1	-0.051851
0.126667	0.1	-0.051851
0.128333	0.1	-0.051851
0.130000	0.1	-0.051851
0.131667	0.1	-0.051851
0.133333	0.1	-0.051851
0.135000	0.1	-0.051851
0.136667	0.1	-0.051851
0.138333	0.1	-0.051851
0.140000	0.1	-0.051851
0.141667	0.1	-0.051851
0.143333	0.1	-0.051851
0.145000	0.1	-0.051851
0.146667	0.1	-0.051851
0.148333	0.1	-0.051851
0.150000	0.1	-0.051851
0.151667	0.1	-0.051851
0.153333	0.1	-0.051851
0.155000	0.1	-0.051851
0.156667	0.1	-0.018942
0.158333	0.1	-0.023495
0.160000	0.1	-0.021875
0.161667	0.1	-0.021604
0.163333	0.1	-0.018865
0.165000	0.1	-0.016860
0.166667	0.1	-0.015895
0.168333	0.1	-0.011922
0.170000	0.1	-0.010108
0.171667	0.1	-0.006752
0.173333	0.1	-0.005093
0.175000	0.1	-0.002816
0.176667	0.1	-0.000425
0.178333	0.1	0.002083
0.180000	0.1	0.004514
0.181667	0.1	0.007023
0.183333	0.1	0.009722
0.185000	0.1	0.012538
0.186667	0.1	0.015124
0.188333	0.1	0.017400
0.190000	0.1	0.019676
0.191667	0.1	0.021604
0.193333	0.1	0.025270
0.195000	0.1	0.026775
0.196667	0.1	0.029281
0.198333	0.1	0.032137
0.200000	0.1	0.035339
0.201667	0.1	0.038773
0.203333	0.1	0.043481
0.205000	0.1	0.046643
0.206667	0.1	0.049768
0.208333	0.1	0.052353
0.210000	0.1	0.055748
0.211667	0.1	0.057831
0.213333	0.1	0.061419
0.215000	0.1	0.062809
0.216667	0.1	0.066319
0.218333	0.1	0.068943
0.220000	0.1	0.072608
0.221667	0.1	0.074845
0.223333	0.1	0.078163
0.225000	0.1	0.081597
0.226667	0.1	0.084568
0.228333	0.1	0.088154
0.230000	0.1	0.091473
0.231667	0.1	0.094637
0.233333	0.1	0.099691
0.235000	0.1	0.102661
0.236667	0.1	0.106905
0.238333	0.1	0.110262
0.240000	0.1	0.114621
0.241667	0.1	0.117901
0.243333	0.1	0.121449
0.245000	0.1	0.126350
0.246667	0.1	0.129706
0.248333	0.1	0.133911
0.250000	0.1	0.137152
0.251667	0.1	0.141589
0.253333	0.1	0.143787
0.255000	0.1	0.148302
0.256667	0.1	0.152777
0.258333	0.1	0.156750
0.260000	0.1	0.160261
0.261667	0.1	0.162693
0.263333	0.1	0.166086
0.265000	0.1	0.168748
0.266667	0.1	0.171912
0.268333	0.1	0.176774
0.270000	0.1	0.181866
0.271667	0.1	0.186264
0.273333	0.1	0.188927
0.275000	0.1	0.193131
0.276667	0.1	0.197336
0.278333	0.1	0.201774
0.280000	0.1	0.205670
0.281667	0.1	0.209143
0.283333	0.1	0.213463
0.285000	0.1	0.218440
0.286667	0.1	0.222029
0.288333	0.1	0.226851
0.290000	0.1	0.230824
0.291667	0.1	0.234411
0.293333	0.1	0.239236
0.295000	0.1	0.243209
0.296667	0.1	0.246796
0.298333	0.1	0.250422
0.300000	0.1	0.254743
0.301667	0.1	0.258717
0.303333	0.1	0.262730
0.305000	0.1	0.266008
0.306667	0.1	0.269365
0.308333	0.1	0.273378
0.310000	0.1	0.277236
0.311667	0.1	0.280554
0.313333	0.1	0.284952
0.315000	0.1	0.289117
0.316667	0.1	0.292707
0.318333	0.1	0.297221
0.320000	0.1	0.300769
0.321667	0.1	0.305708
0.323333	0.1	0.310338
0.325000	0.1	0.315006
0.326667	0.1	0.318169
0.328333	0.1	0.323609
0.330000	0.1	0.328161
0.331667	0.1	0.332598
0.333333	0.1	0.337922
0.335000	0.1	0.343284
0.336667	0.1	0.347413
0.338333	0.1	0.353933
0.340000	0.1	0.356711
0.341667	0.1	0.361571
0.343333	0.1	0.365777
0.345000	0.1	0.370213
0.346667	0.1	0.375344
0.348333	0.1	0.380091
0.350000	0.1	0.384142
0.351667	0.1	0.388423
0.353333	0.1	0.392165
0.355000	0.1	0.396063
0.356667	0.1	0.400345
0.358333	0.1	0.404975
0.360000	0.1	0.409218
0.361667	0.1	0.412536
0.363333	0.1	0.417628
0.365000	0.1	0.420560
0.366667	0.1	0.424728
0.368333	0.1	0.428237
0.370000	0.1	0.432095
0.371667	0.1	0.435685
0.373333	0.1	0.438694
0.375000	0.1	0.441857
0.376667	0.1	0.447220
0.378333	0.1	0.451850
0.380000	0.1	0.455282
0.381667	0.1	0.458716
0.383333	0.1	0.462921
0.385000	0.1	0.466740
0.386667	0.1	0.469673
0.388333	0.1	0.475383
0.390000	0.1	0.480282
0.391667	0.1	0.483485
0.393333	0.1	0.489156
0.395000	0.1	0.493246
0.396667	0.1	0.496216
0.398333	0.1	0.501733
0.400000	0.1	0.506478
0.401667	0.1	0.508832
0.403333	0.1	0.513886
0.405000	0.1	0.517280
0.406667	0.1	0.519943
0.408333	0.1	0.522913
0.410000	0.1	0.526849
0.411667	0.1	0.531053
0.413333	0.1	0.535529
0.415000	0.1	0.539040
0.416667	0.1	0.543014
0.418333	0.1	0.547952
0.420000	0.1	0.551925
0.421667	0.1	0.554549
0.423333	0.1	0.560413
0.425000	0.1	0.563962
0.426667	0.1	0.567396
0.428333	0.1	0.571755
0.430000	0.1	0.574804
0.431667	0.1	0.578430
0.433333	0.1	0.582519
0.435000	0.1	0.587496
0.436667	0.1	0.592550
0.438333	0.1	0.596871
0.440000	0.1	0.600960
0.441667	0.1	0.603854
0.443333	0.1	0.608407
0.445000	0.1	0.612419
0.446667	0.1	0.615003
0.448333	0.1	0.620096
0.450000	0.1	0.624379
0.451667	0.1	0.628932
0.453333	0.1	0.631285
0.455000	0.1	0.635374
0.456667	0.1	0.638885
0.458333	0.1	0.642742
0.460000	0.1	0.647566
0.461667	0.1	0.651578
0.463333	0.1	0.654085
0.465000	0.1	0.658908
0.466667	0.1	0.662303
0.468333	0.1	0.664348
0.470000	0.1	0.667086
0.471667	0.1	0.670829
0.473333	0.1	0.674919
0.475000	0.1	0.678314
0.476667	0.1	0.681207
0.478333	0.1	0.684987
0.480000	0.1	0.689000
0.481667	0.1	0.691199
0.483333	0.1	0.695945
0.485000	0.1	0.699340
0.486667	0.1	0.702696
0.488333	0.1	0.707286
0.490000	0.1	0.710065
0.491667	0.1	0.714309
0.493333	0.1	0.718399
0.495000	0.1	0.722449
0.496667	0.1	0.725033
0.498333	0.1	0.730860
0.500000	0.1	0.735412
0.501667	0.1	0.739270
0.503333	0.1	0.741738
0.505000	0.1	0.745712
0.506667	0.1	0.748683
0.508333	0.1	0.752349
0.510000	0.1	0.754779
0.511667	0.1	0.757403
0.513333	0.1	0.761608
0.515000	0.1	0.764655
0.516667	0.1	0.767394
0.518333	0.1	0.770326
0.520000	0.1	0.773452
0.521667	0.1	0.777117
0.523333	0.1	0.780743
0.525000	0.1	0.784062
0.526667	0.1	0.786609
0.528333	0.1	0.792317
0.530000	0.1	0.795789
0.531667	0.1	0.799609
0.533333	0.1	0.802851
0.535000	0.1	0.805126
0.536667	0.1	0.809216
0.538333	0.1	0.813229
0.540000	0.1	0.815543
0.541667	0.1	0.818050
0.543333	0.1	0.821446
0.545000	0.1	0.824493
0.546667	0.1	0.827425
0.548333	0.1	0.832171
0.550000	0.1	0.835258
0.551667	0.1	0.838498
0.553333	0.1	0.839887
0.555000	0.1	0.843938
0.556667	0.1	0.847950
0.558333	0.1	0.850959
0.560000	0.1	0.854934
0.561667	0.1	0.857981
0.563333	0.1	0.860642
0.565000	0.1	0.864037
0.566667	0.1	0.867162
0.568333	0.1	0.869980
0.570000	0.1	0.873065
0.571667	0.1	0.876036
0.573333	0.1	0.879007
0.575000	0.1	0.882441
0.576667	0.1	0.884368
0.578333	0.1	0.886801
0.580000	0.1	0.889424
0.581667	0.1	0.893089
0.583333	0.1	0.895943
0.585000	0.1	0.900111
0.586667	0.1	0.904315
0.588333	0.1	0.907363
0.590000	0.1	0.909601
0.591667	0.1	0.914076
0.593333	0.1	0.917471
0.595000	0.1	0.920018
0.596667	0.1	0.922486
0.598333	0.1	0.924955
0.600000	0.1	0.927154
0.601667	0.1	0.930434
0.603333	0.1	0.933520
0.605000	0.1	0.937803
0.606667	0.1	0.941621
0.608333	0.1	0.943899
0.610000	0.1	0.946483
0.611667	0.1	0.948682
0.613333	0.1	0.951460
0.615000	0.1	0.954623
0.616667	0.1	0.958057
0.618333	0.1	0.960758
0.620000	0.1	0.963265
0.621667	0.1	0.965851
0.623333	0.1	0.968628
0.625000	0.1	0.970171
0.626667	0.1	0.971946
0.628333	0.1	0.975727
0.630000	0.1	0.977810
0.631667	0.1	0.980741
0.633333	0.1	0.983482
0.635000	0.1	0.986838
0.636667	0.1	0.988574
0.638333	0.1	0.992007
0.640000	0.1	0.994245
0.641667	0.1	0.996213
0.643333	0.1	0.998836
0.645000	0.1	1.000728
0.646667	0.1	1.003929
0.648333	0.1	1.005047
0.650000	0.1	1.008867
0.651667	0.1	1.011182
0.653333	0.1	1.013304
0.655000	0.1	1.015272
0.656667	0.1	1.019168
0.658333	0.1	1.021328
0.660000	0.1	1.023296
0.661667	0.1	1.026344
0.663333	0.1	1.029276
0.665000	0.1	1.032979
0.666667	0.1	1.035641
0.668333	0.1	1.038381
0.670000	0.1	1.038457
0.671667	0.1	1.042083
0.673333	0.1	1.043936
0.675000	0.1	1.046753
0.676667	0.1	1.050226
0.678333	0.1	1.052733
0.680000	0.1	1.055704
0.681667	0.1	1.056976
0.683333	0.1	1.059561
0.685000	0.1	1.062454
0.686667	0.1	1.063496
0.688333	0.1	1.065850
0.690000	0.1	1.067662
0.691667	0.1	1.070634
0.693333	0.1	1.070904
0.695000	0.1	1.073565
0.696667	0.1	1.075533
0.698333	0.1	1.077848
0.700000	0.1	1.079430
