File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/621.smp/FID.channel/FID.chm
Channel	FID

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	51
Position	2
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	29-Apr-25
Injection Time	10:31:18
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	30001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	12.535073
Signal Max.	141.182922
Channel	FID
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.04
Max. Step (s)	0.04
Average Step (s)	0.04

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	12.771198
0.000667	0.04	12.752318
0.001333	0.04	12.745179
0.002000	0.04	12.769243
0.002667	0.04	12.741277
0.003333	0.04	12.754923
0.004000	0.04	12.749722
0.004667	0.04	12.728937
0.005333	0.04	12.721797
0.006000	0.04	12.711423
0.006667	0.04	12.743878
0.007333	0.04	12.691990
0.008000	0.04	12.728286
0.008667	0.04	12.699105
0.009333	0.04	12.713363
0.010000	0.04	12.717251
0.010667	0.04	12.732837
0.011333	0.04	12.720490
0.012000	0.04	12.769889
0.012667	0.04	12.734117
0.013333	0.04	12.728937
0.014000	0.04	12.675180
0.014667	0.04	12.636460
0.015333	0.04	12.610723
0.016000	0.04	12.627445
0.016667	0.04	12.612646
0.017333	0.04	12.617779
0.018000	0.04	12.711423
0.018667	0.04	12.692636
0.019333	0.04	12.709482
0.020000	0.04	12.738018
0.020667	0.04	12.737367
0.021333	0.04	12.743214
0.022000	0.04	12.765984
0.022667	0.04	12.779013
0.023333	0.04	12.799232
0.024000	0.04	12.801833
0.024667	0.04	12.796618
0.025333	0.04	12.837147
0.026000	0.04	12.829947
0.026667	0.04	12.839107
0.027333	0.04	12.830602
0.028000	0.04	12.771845
0.028667	0.04	12.814905
0.029333	0.04	12.834526
0.030000	0.04	12.807063
0.030667	0.04	12.838458
0.031333	0.04	12.816868
