File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/317.smp/TCD_AuxLeft.channel/TCD_AuxLeft.chm
Channel	TCD_AuxLeft

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	32
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	29-Apr-25
Injection Time	03:46:39
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	12001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	mV
Signal Min.	-0.480089
Signal Max.	170.351746
Channel	TCD_AuxLeft
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.1
Max. Step (s)	0.1
Average Step (s)	0.1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (mV)
0.000000	n.a.	0.056713
0.001667	0.1	0.056713
0.003333	0.1	0.056443
0.005000	0.1	0.057368
0.006667	0.1	0.057986
0.008333	0.1	0.057754
0.010000	0.1	0.057754
0.011667	0.1	0.057754
0.013333	0.1	0.057754
0.015000	0.1	0.057754
0.016667	0.1	0.057754
0.018333	0.1	0.057754
0.020000	0.1	0.057754
0.021667	0.1	0.057754
0.023333	0.1	0.057754
0.025000	0.1	0.057754
0.026667	0.1	0.057754
0.028333	0.1	0.057754
0.030000	0.1	0.057754
0.031667	0.1	0.057754
0.033333	0.1	0.057754
0.035000	0.1	0.057754
0.036667	0.1	0.057754
0.038333	0.1	0.057754
0.040000	0.1	0.057754
0.041667	0.1	0.057754
0.043333	0.1	0.057754
0.045000	0.1	0.057754
0.046667	0.1	0.057754
0.048333	0.1	0.057754
0.050000	0.1	0.057754
0.051667	0.1	0.057754
0.053333	0.1	0.057754
0.055000	0.1	0.057754
0.056667	0.1	0.057754
0.058333	0.1	0.057754
0.060000	0.1	0.057754
0.061667	0.1	0.057754
0.063333	0.1	0.057754
0.065000	0.1	0.057754
0.066667	0.1	0.057754
0.068333	0.1	0.057754
0.070000	0.1	0.057754
0.071667	0.1	0.057754
0.073333	0.1	0.057754
0.075000	0.1	0.057754
0.076667	0.1	0.057754
0.078333	0.1	0.057754
0.080000	0.1	0.057754
0.081667	0.1	0.057754
0.083333	0.1	0.057754
0.085000	0.1	0.057754
0.086667	0.1	0.057754
0.088333	0.1	0.057754
0.090000	0.1	0.057754
0.091667	0.1	0.057754
0.093333	0.1	0.057754
0.095000	0.1	0.057754
0.096667	0.1	0.057754
0.098333	0.1	0.057754
0.100000	0.1	0.057754
0.101667	0.1	0.057754
0.103333	0.1	0.057754
0.105000	0.1	0.057754
0.106667	0.1	0.057754
0.108333	0.1	0.057754
0.110000	0.1	0.057754
0.111667	0.1	0.057754
0.113333	0.1	0.057754
0.115000	0.1	0.057754
0.116667	0.1	0.057754
0.118333	0.1	0.057754
0.120000	0.1	0.057754
0.121667	0.1	0.057754
0.123333	0.1	0.057754
0.125000	0.1	0.057754
0.126667	0.1	0.057754
0.128333	0.1	0.057754
0.130000	0.1	0.057754
0.131667	0.1	0.057754
0.133333	0.1	0.057754
0.135000	0.1	0.057754
0.136667	0.1	0.057754
0.138333	0.1	0.057754
0.140000	0.1	0.057754
0.141667	0.1	0.057754
0.143333	0.1	0.057754
0.145000	0.1	0.057754
0.146667	0.1	0.057754
0.148333	0.1	0.057754
0.150000	0.1	0.057754
0.151667	0.1	0.057754
0.153333	0.1	0.057754
0.155000	0.1	0.057754
0.156667	0.1	0.057754
0.158333	0.1	0.010726
0.160000	0.1	0.051929
0.161667	0.1	0.052006
0.163333	0.1	0.051542
0.165000	0.1	0.051389
0.166667	0.1	0.051542
0.168333	0.1	0.051003
0.170000	0.1	0.049267
0.171667	0.1	0.050347
0.173333	0.1	0.050038
0.175000	0.1	0.050000
0.176667	0.1	0.049613
0.178333	0.1	0.050810
0.180000	0.1	0.049035
0.181667	0.1	0.050385
0.183333	0.1	0.050848
0.185000	0.1	0.051157
0.186667	0.1	0.049653
0.188333	0.1	0.050501
0.190000	0.1	0.048919
0.191667	0.1	0.049344
0.193333	0.1	0.049035
0.195000	0.1	0.048495
0.196667	0.1	0.048456
0.198333	0.1	0.047646
0.200000	0.1	0.047801
0.201667	0.1	0.048110
0.203333	0.1	0.046567
0.205000	0.1	0.046257
0.206667	0.1	0.046142
0.208333	0.1	0.045640
0.210000	0.1	0.044946
0.211667	0.1	0.044946
0.213333	0.1	0.046952
0.215000	0.1	0.047338
0.216667	0.1	0.047569
0.218333	0.1	0.047222
0.220000	0.1	0.046567
0.221667	0.1	0.047106
0.223333	0.1	0.045679
0.225000	0.1	0.045794
0.226667	0.1	0.045370
0.228333	0.1	0.045293
0.230000	0.1	0.045100
0.231667	0.1	0.046064
0.233333	0.1	0.044251
0.235000	0.1	0.044637
0.236667	0.1	0.044289
0.238333	0.1	0.044445
0.240000	0.1	0.044985
0.241667	0.1	0.044174
0.243333	0.1	0.045062
0.245000	0.1	0.044946
0.246667	0.1	0.045139
0.248333	0.1	0.046104
0.250000	0.1	0.046296
0.251667	0.1	0.046874
0.253333	0.1	0.046334
0.255000	0.1	0.044676
0.256667	0.1	0.045293
0.258333	0.1	0.044367
0.260000	0.1	0.043711
0.261667	0.1	0.043711
0.263333	0.1	0.043711
0.265000	0.1	0.044059
0.266667	0.1	0.043287
0.268333	0.1	0.043017
0.270000	0.1	0.043364
0.271667	0.1	0.043943
0.273333	0.1	0.042361
0.275000	0.1	0.042129
0.276667	0.1	0.041435
0.278333	0.1	0.041666
0.280000	0.1	0.041782
0.281667	0.1	0.042206
0.283333	0.1	0.042245
0.285000	0.1	0.040856
0.286667	0.1	0.041049
0.288333	0.1	0.041705
0.290000	0.1	0.041203
0.291667	0.1	0.041628
0.293333	0.1	0.042053
0.295000	0.1	0.042090
0.296667	0.1	0.041821
0.298333	0.1	0.040355
0.300000	0.1	0.040162
0.301667	0.1	0.040123
0.303333	0.1	0.039777
0.305000	0.1	0.041088
0.306667	0.1	0.040084
0.308333	0.1	0.039544
0.310000	0.1	0.038927
0.311667	0.1	0.038889
0.313333	0.1	0.039621
0.315000	0.1	0.039004
0.316667	0.1	0.039698
0.318333	0.1	0.039237
0.320000	0.1	0.040741
0.321667	0.1	0.040625
0.323333	0.1	0.040586
0.325000	0.1	0.041165
0.326667	0.1	0.039390
0.328333	0.1	0.039081
