File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/582.smp/FID.channel/FID.chm
Channel	FID

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	17
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	28-Apr-25
Injection Time	22:27:11
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	30001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	12.275187
Signal Max.	119.439491
Channel	FID
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.04
Max. Step (s)	0.04
Average Step (s)	0.04

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	12.459270
0.000667	0.04	12.438965
0.001333	0.04	12.451011
0.002000	0.04	12.458634
0.002667	0.04	12.485967
0.003333	0.04	12.494244
0.004000	0.04	12.466900
0.004667	0.04	12.470061
0.005333	0.04	12.505072
0.006000	0.04	12.498064
0.006667	0.04	12.499979
0.007333	0.04	12.496158
0.008000	0.04	12.498702
0.008667	0.04	12.478971
0.009333	0.04	12.494244
0.010000	0.04	12.463710
0.010667	0.04	12.473245
0.011333	0.04	12.489148
0.012000	0.04	12.474519
0.012667	0.04	12.486606
0.013333	0.04	12.463074
0.014000	0.04	12.419955
0.014667	0.04	12.399707
0.015333	0.04	12.371293
0.016000	0.04	12.326612
0.016667	0.04	12.364367
0.017333	0.04	12.350502
0.018000	0.04	12.380751
0.018667	0.04	12.392126
0.019333	0.04	12.370667
0.020000	0.04	12.416779
0.020667	0.04	12.419321
0.021333	0.04	12.420582
0.022000	0.04	12.447840
0.022667	0.04	12.421844
0.023333	0.04	12.445298
0.024000	0.04	12.449104
0.024667	0.04	12.474519
0.025333	0.04	12.466900
0.026000	0.04	12.501893
0.026667	0.04	12.506342
0.027333	0.04	12.506994
0.028000	0.04	12.521023
0.028667	0.04	12.471328
0.029333	0.04	12.517827
0.030000	0.04	12.470698
0.030667	0.04	12.474519
0.031333	0.04	12.472609
0.032000	0.04	12.486606
0.032667	0.04	12.461795
0.033333	0.04	12.452282
0.034000	0.04	12.465619
0.034667	0.04	12.487235
0.035333	0.04	12.470698
0.036000	0.04	12.461172
0.036667	0.04	12.461172
0.037333	0.04	12.451011
0.038000	0.04	12.468795
0.038667	0.04	12.418687
0.039333	0.04	12.435156
0.040000	0.04	12.420582
0.040667	0.04	12.431981
0.041333	0.04	12.426925
0.042000	0.04	12.403500
0.042667	0.04	12.402866
0.043333	0.04	12.431981
0.044000	0.04	12.407292
0.044667	0.04	12.422478
0.045333	0.04	12.404140
0.046000	0.04	12.407933
0.046667	0.04	12.402866
0.047333	0.04	12.397182
0.048000	0.04	12.387073
0.048667	0.04	12.367511
0.049333	0.04	12.373827
0.050000	0.04	12.387073
0.050667	0.04	12.368150
0.051333	0.04	12.363098
0.052000	0.04	12.359325
0.052667	0.04	12.375715
0.053333	0.04	12.382654
0.054000	0.04	12.376354
0.054667	0.04	12.383293
0.055333	0.04	12.369398
0.056000	0.04	12.370044
0.056667	0.04	12.380751
0.057333	0.04	12.381396
0.058000	0.04	12.333522
0.058667	0.04	12.375083
0.059333	0.04	12.368767
0.060000	0.04	12.381396
0.060667	0.04	12.377611
0.061333	0.04	12.404767
0.062000	0.04	12.414890
0.062667	0.04	12.392760
0.063333	0.04	12.407933
0.064000	0.04	12.388331
0.064667	0.04	12.410454
0.065333	0.04	12.417419
0.066000	0.04	12.404767
0.066667	0.04	12.399707
0.067333	0.04	12.364985
0.068000	0.04	12.382654
0.068667	0.04	12.387073
0.069333	0.04	12.389604
0.070000	0.04	12.382654
0.070667	0.04	12.373827
0.071333	0.04	12.418046
0.072000	0.04	12.423113
0.072667	0.04	12.406660
0.073333	0.04	12.411729
0.074000	0.04	12.406040
0.074667	0.04	12.424374
0.075333	0.04	12.425014
0.076000	0.04	12.407933
