File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/885.smp/FID.channel/FID.chm
Channel	FID

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	38
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	29-Apr-25
Injection Time	05:54:26
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	30001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	12.599795
Signal Max.	120.939903
Channel	FID
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.04
Max. Step (s)	0.04
Average Step (s)	0.04

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	12.864668
0.000667	0.04	12.881085
0.001333	0.04	12.896206
0.002000	0.04	12.862698
0.002667	0.04	12.850904
0.003333	0.04	12.839107
0.004000	0.04	12.843026
0.004667	0.04	12.839107
0.005333	0.04	12.847617
0.006000	0.04	12.831250
0.006667	0.04	12.820132
0.007333	0.04	12.801833
0.008000	0.04	12.820787
0.008667	0.04	12.800525
0.009333	0.04	12.771845
0.010000	0.04	12.794006
0.010667	0.04	12.765339
0.011333	0.04	12.795973
0.012000	0.04	12.754272
0.012667	0.04	12.756226
0.013333	0.04	12.749722
0.014000	0.04	12.682935
0.014667	0.04	12.697823
0.015333	0.04	12.682935
0.016000	0.04	12.688115
0.016667	0.04	12.653217
0.017333	0.04	12.679697
0.018000	0.04	12.681640
0.018667	0.04	12.725038
0.019333	0.04	12.749071
0.020000	0.04	12.751675
0.020667	0.04	12.775758
0.021333	0.04	12.790740
0.022000	0.04	12.814243
0.022667	0.04	12.838458
0.023333	0.04	12.805755
0.024000	0.04	12.822744
0.024667	0.04	12.847617
0.025333	0.04	12.814905
0.026000	0.04	12.816868
0.026667	0.04	12.839762
0.027333	0.04	12.864011
0.028000	0.04	12.841074
0.028667	0.04	12.866639
0.029333	0.04	12.867296
