File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/859.smp/FID.channel/FID.chm
Channel	FID

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	85
Position	3
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	29-Apr-25
Injection Time	22:35:30
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	30001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	12.583088
Signal Max.	137.396957
Channel	FID
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.04
Max. Step (s)	0.04
Average Step (s)	0.04

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	12.809671
0.000667	0.04	12.823406
0.001333	0.04	12.854834
0.002000	0.04	12.837795
0.002667	0.04	12.852217
0.003333	0.04	12.866639
0.004000	0.04	12.868610
0.004667	0.04	12.899491
0.005333	0.04	12.898811
0.006000	0.04	12.894223
0.006667	0.04	12.877132
0.007333	0.04	12.888958
0.008000	0.04	12.906724
0.008667	0.04	12.868610
0.009333	0.04	12.905405
0.010000	0.04	12.904101
0.010667	0.04	12.910670
0.011333	0.04	12.922527
0.012000	0.04	12.942321
0.012667	0.04	12.913975
0.013333	0.04	12.869260
0.014000	0.04	12.872553
0.014667	0.04	12.837147
0.015333	0.04	12.807723
0.016000	0.04	12.794006
0.016667	0.04	12.789434
0.017333	0.04	12.807723
0.018000	0.04	12.812942
0.018667	0.04	12.832561
0.019333	0.04	12.853508
0.020000	0.04	12.894881
0.020667	0.04	12.894223
0.021333	0.04	12.892906
0.022000	0.04	12.902771
0.022667	0.04	12.896206
0.023333	0.04	12.903437
0.024000	0.04	12.899491
0.024667	0.04	12.926486
0.025333	0.04	12.870574
0.026000	0.04	12.896206
0.026667	0.04	12.896856
0.027333	0.04	12.868610
0.028000	0.04	12.872553
0.028667	0.04	12.888958
0.029333	0.04	12.852217
