File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/442.smp/FID.channel/FID.chm
Channel	FID

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	16
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	28-Apr-25
Injection Time	22:05:53
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	30001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	12.268329
Signal Max.	121.102814
Channel	FID
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.04
Max. Step (s)	0.04
Average Step (s)	0.04

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	12.491699
0.000667	0.04	12.480238
0.001333	0.04	12.506342
0.002000	0.04	12.502525
0.002667	0.04	12.470698
0.003333	0.04	12.482150
0.004000	0.04	12.503170
0.004667	0.04	12.464339
0.005333	0.04	12.468158
0.006000	0.04	12.480238
0.006667	0.04	12.463710
0.007333	0.04	12.478971
0.008000	0.04	12.456090
0.008667	0.04	12.475792
0.009333	0.04	12.470061
0.010000	0.04	12.447190
0.010667	0.04	12.444040
0.011333	0.04	12.445298
0.012000	0.04	12.456718
0.012667	0.04	12.392760
0.013333	0.04	12.374452
0.014000	0.04	12.377611
0.014667	0.04	12.358701
0.015333	0.04	12.330380
0.016000	0.04	12.355547
0.016667	0.04	12.382022
0.017333	0.04	12.411088
0.018000	0.04	12.440857
0.018667	0.04	12.452282
0.019333	0.04	12.463074
0.020000	0.04	12.462430
0.020667	0.04	12.471328
0.021333	0.04	12.501263
0.022000	0.04	12.496782
0.022667	0.04	12.513993
0.023333	0.04	12.536993
0.024000	0.04	12.475792
0.024667	0.04	12.509548
0.025333	0.04	12.533160
0.026000	0.04	12.549154
0.026667	0.04	12.484056
0.027333	0.04	12.495520
0.028000	0.04	12.464983
0.028667	0.04	12.494244
0.029333	0.04	12.485967
0.030000	0.04	12.478333
0.030667	0.04	12.505724
0.031333	0.04	12.508903
0.032000	0.04	12.499979
0.032667	0.04	12.474519
0.033333	0.04	12.508265
0.034000	0.04	12.485324
0.034667	0.04	12.505072
0.035333	0.04	12.517195
0.036000	0.04	12.493619
0.036667	0.04	12.509548
0.037333	0.04	12.506994
0.038000	0.04	12.490423
0.038667	0.04	12.492975
0.039333	0.04	12.511457
0.040000	0.04	12.513368
0.040667	0.04	12.504434
0.041333	0.04	12.524853
0.042000	0.04	12.505724
0.042667	0.04	12.516562
0.043333	0.04	12.478333
0.044000	0.04	12.451653
0.044667	0.04	12.467529
0.045333	0.04	12.459270
0.046000	0.04	12.499341
0.046667	0.04	12.452904
0.047333	0.04	12.438965
0.048000	0.04	12.470698
0.048667	0.04	12.464339
0.049333	0.04	12.457362
0.050000	0.04	12.419321
0.050667	0.04	12.442127
0.051333	0.04	12.444662
0.052000	0.04	12.425014
0.052667	0.04	12.451653
0.053333	0.04	12.414243
0.054000	0.04	12.442770
0.054667	0.04	12.436426
0.055333	0.04	12.418687
0.056000	0.04	12.427552
0.056667	0.04	12.397182
0.057333	0.04	12.442770
0.058000	0.04	12.438965
0.058667	0.04	12.416157
0.059333	0.04	12.459270
0.060000	0.04	12.431981
0.060667	0.04	12.466249
0.061333	0.04	12.454811
0.062000	0.04	12.446561
0.062667	0.04	12.441492
0.063333	0.04	12.470061
0.064000	0.04	12.463710
0.064667	0.04	12.464339
0.065333	0.04	12.460528
0.066000	0.04	12.476437
0.066667	0.04	12.457362
0.067333	0.04	12.456090
0.068000	0.04	12.420582
0.068667	0.04	12.432616
0.069333	0.04	12.440857
0.070000	0.04	12.422478
0.070667	0.04	12.439593
0.071333	0.04	12.440228
0.072000	0.04	12.447190
0.072667	0.04	12.444662
0.073333	0.04	12.471328
0.074000	0.04	12.432616
0.074667	0.04	12.452904
0.075333	0.04	12.429449
0.076000	0.04	12.449104
0.076667	0.04	12.452904
0.077333	0.04	12.422478
0.078000	0.04	12.442770
0.078667	0.04	12.462430
0.079333	0.04	12.451011
0.080000	0.04	12.452282
0.080667	0.04	12.461795
0.081333	0.04	12.479609
0.082000	0.04	12.473245
0.082667	0.04	12.463710
0.083333	0.04	12.454811
0.084000	0.04	12.462430
0.084667	0.04	12.447840
0.085333	0.04	12.437682
0.086000	0.04	12.449746
0.086667	0.04	12.462430
0.087333	0.04	12.456718
0.088000	0.04	12.450381
0.088667	0.04	12.447840
0.089333	0.04	12.460528
0.090000	0.04	12.428181
0.090667	0.04	12.432616
0.091333	0.04	12.430079
0.092000	0.04	12.459270
0.092667	0.04	12.457362
0.093333	0.04	12.470698
0.094000	0.04	12.476437
0.094667	0.04	12.499341
0.095333	0.04	12.484056
0.096000	0.04	12.477059
0.096667	0.04	12.485324
0.097333	0.04	12.477691
0.098000	0.04	12.472609
0.098667	0.04	12.481512
0.099333	0.04	12.451653
0.100000	0.04	12.446561
0.100667	0.04	12.431347
0.101333	0.04	12.444040
0.102000	0.04	12.414890
0.102667	0.04	12.428815
0.103333	0.04	12.431347
0.104000	0.04	12.411088
0.104667	0.04	12.413623
0.105333	0.04	12.406040
0.106000	0.04	12.374452
0.106667	0.04	12.403500
0.107333	0.04	12.392126
0.108000	0.04	12.378236
0.108667	0.04	12.357433
0.109333	0.04	12.382654
0.110000	0.04	12.425014
0.110667	0.04	12.390862
0.111333	0.04	12.380751
0.112000	0.04	12.373827
0.112667	0.04	12.387073
0.113333	0.04	12.372556
0.114000	0.04	12.371931
0.114667	0.04	12.332886
0.115333	0.04	12.389604
0.116000	0.04	12.384538
0.116667	0.04	12.375083
0.117333	0.04	12.374452
0.118000	0.04	12.379499
0.118667	0.04	12.410454
0.119333	0.04	12.382654
0.120000	0.04	12.368150
0.120667	0.04	12.350502
0.121333	0.04	12.349247
0.122000	0.04	12.371293
0.122667	0.04	12.360587
0.123333	0.04	12.416779
0.124000	0.04	12.373827
0.124667	0.04	12.374452
0.125333	0.04	12.383911
0.126000	0.04	12.384538
0.126667	0.04	12.403500
0.127333	0.04	12.411729
