File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/663.smp/TCD_AuxRight.channel/TCD_AuxRight.chm
Channel	TCD_AuxRight

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	6
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	28-Apr-25
Injection Time	18:32:55
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	12001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	mV
Signal Min.	-8.745044
Signal Max.	299.415497
Channel	TCD_AuxRight
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.1
Max. Step (s)	0.1
Average Step (s)	0.1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (mV)
0.000000	n.a.	-0.000270
0.001667	0.1	0.000077
0.003333	0.1	0.000000
0.005000	0.1	0.000540
0.006667	0.1	-0.000579
0.008333	0.1	0.000154
0.010000	0.1	0.000347
0.011667	0.1	0.000347
0.013333	0.1	0.000347
0.015000	0.1	0.000347
0.016667	0.1	0.000347
0.018333	0.1	0.000347
0.020000	0.1	0.000347
0.021667	0.1	0.000347
0.023333	0.1	0.000347
0.025000	0.1	0.000347
0.026667	0.1	0.000347
0.028333	0.1	0.000347
0.030000	0.1	0.000347
0.031667	0.1	0.000347
0.033333	0.1	0.000347
0.035000	0.1	0.000347
0.036667	0.1	0.000347
0.038333	0.1	0.000347
0.040000	0.1	0.000347
0.041667	0.1	0.000347
0.043333	0.1	0.000347
0.045000	0.1	0.000347
0.046667	0.1	0.000347
0.048333	0.1	0.000347
0.050000	0.1	0.000347
0.051667	0.1	0.000347
0.053333	0.1	0.000347
0.055000	0.1	0.000347
0.056667	0.1	0.000347
0.058333	0.1	0.000347
0.060000	0.1	0.000347
0.061667	0.1	0.000347
0.063333	0.1	0.000347
0.065000	0.1	0.000347
0.066667	0.1	0.000347
0.068333	0.1	0.000347
0.070000	0.1	0.000347
0.071667	0.1	0.000347
0.073333	0.1	0.000347
0.075000	0.1	0.000347
0.076667	0.1	0.000347
0.078333	0.1	0.000347
0.080000	0.1	0.000347
0.081667	0.1	0.000347
0.083333	0.1	0.000347
0.085000	0.1	0.000347
0.086667	0.1	0.000347
0.088333	0.1	0.000347
0.090000	0.1	0.000347
0.091667	0.1	0.000347
0.093333	0.1	0.000347
0.095000	0.1	0.000347
0.096667	0.1	0.000347
0.098333	0.1	0.000347
0.100000	0.1	0.000347
0.101667	0.1	0.000347
0.103333	0.1	0.000347
0.105000	0.1	0.000347
0.106667	0.1	0.000347
0.108333	0.1	0.000347
0.110000	0.1	0.000347
0.111667	0.1	0.000347
0.113333	0.1	0.000347
0.115000	0.1	0.000347
0.116667	0.1	0.000347
0.118333	0.1	0.000347
0.120000	0.1	0.000347
0.121667	0.1	0.000347
0.123333	0.1	0.000347
0.125000	0.1	0.000347
0.126667	0.1	0.000347
0.128333	0.1	0.000347
0.130000	0.1	0.000347
0.131667	0.1	0.000347
0.133333	0.1	0.000347
0.135000	0.1	0.000347
0.136667	0.1	0.000347
0.138333	0.1	0.000347
0.140000	0.1	0.000347
0.141667	0.1	0.000347
0.143333	0.1	0.000347
0.145000	0.1	0.000347
0.146667	0.1	0.000347
0.148333	0.1	0.000347
0.150000	0.1	0.000347
0.151667	0.1	0.000347
0.153333	0.1	0.000347
0.155000	0.1	0.000347
0.156667	0.1	0.000347
0.158333	0.1	0.000347
0.160000	0.1	0.025231
0.161667	0.1	0.032677
0.163333	0.1	0.034837
0.165000	0.1	0.036805
0.166667	0.1	0.038580
0.168333	0.1	0.041280
0.170000	0.1	0.044792
0.171667	0.1	0.046373
0.173333	0.1	0.049151
0.175000	0.1	0.051041
0.176667	0.1	0.053318
0.178333	0.1	0.055863
0.180000	0.1	0.057986
0.181667	0.1	0.060956
0.183333	0.1	0.063156
0.185000	0.1	0.064815
0.186667	0.1	0.068403
0.188333	0.1	0.070756
0.190000	0.1	0.073881
0.191667	0.1	0.075733
0.193333	0.1	0.078047
0.195000	0.1	0.080594
0.196667	0.1	0.082562
0.198333	0.1	0.085493
0.200000	0.1	0.086843
0.201667	0.1	0.091087
0.203333	0.1	0.096103
0.205000	0.1	0.104012
0.206667	0.1	0.108101
0.208333	0.1	0.109914
0.210000	0.1	0.110648
0.211667	0.1	0.112384
0.213333	0.1	0.114313
0.215000	0.1	0.115354
0.216667	0.1	0.118633
0.218333	0.1	0.121449
0.220000	0.1	0.123148
0.221667	0.1	0.126427
0.223333	0.1	0.129204
0.225000	0.1	0.132176
0.226667	0.1	0.135609
0.228333	0.1	0.138387
0.230000	0.1	0.141473
0.231667	0.1	0.143749
0.233333	0.1	0.147298
0.235000	0.1	0.150270
0.236667	0.1	0.152545
0.238333	0.1	0.156520
0.240000	0.1	0.159259
0.241667	0.1	0.162962
0.243333	0.1	0.166703
0.245000	0.1	0.169752
0.246667	0.1	0.173225
0.248333	0.1	0.177043
0.250000	0.1	0.178740
0.251667	0.1	0.182907
0.253333	0.1	0.188310
0.255000	0.1	0.193093
0.256667	0.1	0.196681
0.258333	0.1	0.199998
0.260000	0.1	0.202931
0.261667	0.1	0.205940
