File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/673.smp/TCD_AuxRight.channel/TCD_AuxRight.chm
Channel	TCD_AuxRight

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	35
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	29-Apr-25
Injection Time	04:50:34
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	12001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	mV
Signal Min.	-8.771973
Signal Max.	298.243347
Channel	TCD_AuxRight
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.1
Max. Step (s)	0.1
Average Step (s)	0.1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (mV)
0.000000	n.a.	0.016396
0.001667	0.1	0.017516
0.003333	0.1	0.017553
0.005000	0.1	0.018210
0.006667	0.1	0.018441
0.008333	0.1	0.019290
0.010000	0.1	0.017785
0.011667	0.1	0.017785
0.013333	0.1	0.017785
0.015000	0.1	0.017785
0.016667	0.1	0.017785
0.018333	0.1	0.017785
0.020000	0.1	0.017785
0.021667	0.1	0.017785
0.023333	0.1	0.017785
0.025000	0.1	0.017785
0.026667	0.1	0.017785
0.028333	0.1	0.017785
0.030000	0.1	0.017785
0.031667	0.1	0.017785
0.033333	0.1	0.017785
0.035000	0.1	0.017785
0.036667	0.1	0.017785
0.038333	0.1	0.017785
0.040000	0.1	0.017785
0.041667	0.1	0.017785
0.043333	0.1	0.017785
0.045000	0.1	0.017785
0.046667	0.1	0.017785
0.048333	0.1	0.017785
0.050000	0.1	0.017785
0.051667	0.1	0.017785
0.053333	0.1	0.017785
0.055000	0.1	0.017785
0.056667	0.1	0.017785
0.058333	0.1	0.017785
0.060000	0.1	0.017785
0.061667	0.1	0.017785
0.063333	0.1	0.017785
0.065000	0.1	0.017785
0.066667	0.1	0.017785
0.068333	0.1	0.017785
0.070000	0.1	0.017785
0.071667	0.1	0.017785
0.073333	0.1	0.017785
0.075000	0.1	0.017785
0.076667	0.1	0.017785
0.078333	0.1	0.017785
0.080000	0.1	0.017785
0.081667	0.1	0.017785
0.083333	0.1	0.017785
0.085000	0.1	0.017785
0.086667	0.1	0.017785
0.088333	0.1	0.017785
0.090000	0.1	0.017785
0.091667	0.1	0.017785
0.093333	0.1	0.017785
0.095000	0.1	0.017785
0.096667	0.1	0.017785
0.098333	0.1	0.017785
0.100000	0.1	0.017785
0.101667	0.1	0.017785
0.103333	0.1	0.017785
0.105000	0.1	0.017785
0.106667	0.1	0.017785
0.108333	0.1	0.017785
0.110000	0.1	0.017785
0.111667	0.1	0.017785
0.113333	0.1	0.017785
0.115000	0.1	0.017785
0.116667	0.1	0.017785
0.118333	0.1	0.017785
0.120000	0.1	0.017785
0.121667	0.1	0.017785
0.123333	0.1	0.017785
0.125000	0.1	0.017785
0.126667	0.1	0.017785
0.128333	0.1	0.017785
0.130000	0.1	0.017785
0.131667	0.1	0.017785
0.133333	0.1	0.017785
0.135000	0.1	0.017785
0.136667	0.1	0.017785
0.138333	0.1	0.017785
0.140000	0.1	0.017785
0.141667	0.1	0.017785
0.143333	0.1	0.017785
0.145000	0.1	0.017785
0.146667	0.1	0.017785
0.148333	0.1	0.017785
0.150000	0.1	0.017785
0.151667	0.1	0.017785
0.153333	0.1	0.017785
0.155000	0.1	0.017785
0.156667	0.1	-0.000154
0.158333	0.1	0.039429
0.160000	0.1	0.041049
0.161667	0.1	0.042863
0.163333	0.1	0.044483
0.165000	0.1	0.046296
0.166667	0.1	0.047878
0.168333	0.1	0.049961
0.170000	0.1	0.053124
0.171667	0.1	0.055054
0.173333	0.1	0.056828
0.175000	0.1	0.058796
0.176667	0.1	0.060725
0.178333	0.1	0.063000
0.180000	0.1	0.064236
0.181667	0.1	0.067554
0.183333	0.1	0.068826
0.185000	0.1	0.071528
0.186667	0.1	0.072685
0.188333	0.1	0.075501
0.190000	0.1	0.077893
0.191667	0.1	0.080363
0.193333	0.1	0.083873
0.195000	0.1	0.086920
0.196667	0.1	0.089506
0.198333	0.1	0.091512
0.200000	0.1	0.093595
0.201667	0.1	0.096334
0.203333	0.1	0.099806
0.205000	0.1	0.107484
0.206667	0.1	0.112191
0.208333	0.1	0.114737
0.210000	0.1	0.115547
0.211667	0.1	0.116781
0.213333	0.1	0.119134
0.215000	0.1	0.120562
0.216667	0.1	0.123109
0.218333	0.1	0.126350
0.220000	0.1	0.127855
0.221667	0.1	0.131750
0.223333	0.1	0.134837
0.225000	0.1	0.138387
0.226667	0.1	0.141512
0.228333	0.1	0.143864
0.230000	0.1	0.148494
0.231667	0.1	0.151002
0.233333	0.1	0.154976
0.235000	0.1	0.159913
0.236667	0.1	0.163039
0.238333	0.1	0.167978
0.240000	0.1	0.172414
0.241667	0.1	0.175076
0.243333	0.1	0.179165
0.245000	0.1	0.183988
0.246667	0.1	0.188194
0.248333	0.1	0.191936
0.250000	0.1	0.194984
0.251667	0.1	0.198803
0.253333	0.1	0.203509
0.255000	0.1	0.208756
0.256667	0.1	0.212884
0.258333	0.1	0.216279
0.260000	0.1	0.219945
0.261667	0.1	0.224806
0.263333	0.1	0.228355
0.265000	0.1	0.233216
0.266667	0.1	0.235955
0.268333	0.1	0.240160
0.270000	0.1	0.244173
0.271667	0.1	0.247877
0.273333	0.1	0.252660
0.275000	0.1	0.256056
0.276667	0.1	0.260993
0.278333	0.1	0.263926
0.280000	0.1	0.267977
0.281667	0.1	0.271565
0.283333	0.1	0.276387
0.285000	0.1	0.279782
0.286667	0.1	0.284296
0.288333	0.1	0.288270
0.290000	0.1	0.291897
0.291667	0.1	0.295291
0.293333	0.1	0.300152
0.295000	0.1	0.304358
0.296667	0.1	0.308215
0.298333	0.1	0.312459
0.300000	0.1	0.316934
0.301667	0.1	0.320021
0.303333	0.1	0.324959
0.305000	0.1	0.328663
0.306667	0.1	0.332329
0.308333	0.1	0.337151
0.310000	0.1	0.341819
0.311667	0.1	0.345639
0.313333	0.1	0.348686
0.315000	0.1	0.352505
0.316667	0.1	0.355630
0.318333	0.1	0.359758
0.320000	0.1	0.364504
0.321667	0.1	0.368941
0.323333	0.1	0.373685
0.325000	0.1	0.378779
0.326667	0.1	0.383563
0.328333	0.1	0.387961
0.330000	0.1	0.393014
0.331667	0.1	0.397297
0.333333	0.1	0.402003
0.335000	0.1	0.406362
0.336667	0.1	0.409527
0.338333	0.1	0.414889
0.340000	0.1	0.418015
0.341667	0.1	0.422105
0.343333	0.1	0.426425
0.345000	0.1	0.430900
0.346667	0.1	0.434218
0.348333	0.1	0.437960
0.350000	0.1	0.442242
0.351667	0.1	0.446293
0.353333	0.1	0.451502
0.355000	0.1	0.455476
0.356667	0.1	0.458716
0.358333	0.1	0.463231
0.360000	0.1	0.466664
0.361667	0.1	0.471062
0.363333	0.1	0.474649
0.365000	0.1	0.478082
0.366667	0.1	0.482019
0.368333	0.1	0.486532
0.370000	0.1	0.490004
0.371667	0.1	0.494095
0.373333	0.1	0.496872
0.375000	0.1	0.501309
0.376667	0.1	0.505861
0.378333	0.1	0.510336
0.380000	0.1	0.514811
0.381667	0.1	0.519364
0.383333	0.1	0.523686
0.385000	0.1	0.528083
0.386667	0.1	0.532481
0.388333	0.1	0.537573
0.390000	0.1	0.542821
0.391667	0.1	0.546370
0.393333	0.1	0.552003
0.395000	0.1	0.556440
0.396667	0.1	0.559987
0.398333	0.1	0.564464
0.400000	0.1	0.568515
0.401667	0.1	0.572567
0.403333	0.1	0.576270
0.405000	0.1	0.578893
0.406667	0.1	0.582906
0.408333	0.1	0.587419
0.410000	0.1	0.592358
0.411667	0.1	0.596023
