File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/592.smp/FID.channel/FID.chm
Channel	FID

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	56
Position	3
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	29-Apr-25
Injection Time	12:17:49
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	30001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	12.438965
Signal Max.	144.121918
Channel	FID
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.04
Max. Step (s)	0.04
Average Step (s)	0.04

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	12.600425
0.000667	0.04	12.617141
0.001333	0.04	12.615216
0.002000	0.04	12.593365
0.002667	0.04	12.623578
0.003333	0.04	12.570915
0.004000	0.04	12.593365
0.004667	0.04	12.586308
0.005333	0.04	12.606859
0.006000	0.04	12.590157
0.006667	0.04	12.630017
0.007333	0.04	12.634525
0.008000	0.04	12.613291
0.008667	0.04	12.628083
0.009333	0.04	12.632598
0.010000	0.04	12.613291
0.010667	0.04	12.600425
0.011333	0.04	12.625511
0.012000	0.04	12.653217
0.012667	0.04	12.628728
0.013333	0.04	12.603005
0.014000	0.04	12.591443
0.014667	0.04	12.566438
0.015333	0.04	12.536993
0.016000	0.04	12.554909
0.016667	0.04	12.510180
0.017333	0.04	12.554909
0.018000	0.04	12.576686
0.018667	0.04	12.610065
0.019333	0.04	12.610723
0.020000	0.04	12.633243
0.020667	0.04	12.642255
0.021333	0.04	12.683581
0.022000	0.04	12.671946
0.022667	0.04	12.673893
0.023333	0.04	12.690052
0.024000	0.04	12.683581
0.024667	0.04	12.658387
0.025333	0.04	12.686179
0.026000	0.04	12.682294
0.026667	0.04	12.657748
0.027333	0.04	12.675820
0.028000	0.04	12.663545
0.028667	0.04	12.671946
0.029333	0.04	12.695878
0.030000	0.04	12.699105
0.030667	0.04	12.702995
0.031333	0.04	12.699760
0.032000	0.04	12.674526
0.032667	0.04	12.650002
0.033333	0.04	12.661612
0.034000	0.04	12.639680
0.034667	0.04	12.648058
0.035333	0.04	12.636460
0.036000	0.04	12.628728
0.036667	0.04	12.625511
0.037333	0.04	12.599152
0.038000	0.04	12.618436
0.038667	0.04	12.601711
0.039333	0.04	12.633243
0.040000	0.04	12.619075
0.040667	0.04	12.620370
0.041333	0.04	12.599152
0.042000	0.04	12.581168
0.042667	0.04	12.596572
0.043333	0.04	12.579255
0.044000	0.04	12.592729
0.044667	0.04	12.602362
0.045333	0.04	12.591443
0.046000	0.04	12.655802
0.046667	0.04	12.634525
0.047333	0.04	12.615216
0.048000	0.04	12.630017
0.048667	0.04	12.635816
0.049333	0.04	12.618436
0.050000	0.04	12.607504
0.050667	0.04	12.594644
0.051333	0.04	12.597866
0.052000	0.04	12.587600
0.052667	0.04	12.610723
0.053333	0.04	12.604279
0.054000	0.04	12.601089
0.054667	0.04	12.598508
0.055333	0.04	12.622941
0.056000	0.04	12.596572
0.056667	0.04	12.611366
0.057333	0.04	12.590157
0.058000	0.04	12.615216
0.058667	0.04	12.615846
0.059333	0.04	12.611996
0.060000	0.04	12.635170
0.060667	0.04	12.622941
0.061333	0.04	12.626148
0.062000	0.04	12.648704
0.062667	0.04	12.621007
0.063333	0.04	12.607504
0.064000	0.04	12.608790
0.064667	0.04	12.610065
0.065333	0.04	12.637098
0.066000	0.04	12.603649
0.066667	0.04	12.600425
0.067333	0.04	12.610065
0.068000	0.04	12.596572
0.068667	0.04	12.585666
0.069333	0.04	12.597866
0.070000	0.04	12.554909
0.070667	0.04	12.547233
0.071333	0.04	12.534433
0.072000	0.04	12.558741
0.072667	0.04	12.578599
0.073333	0.04	12.598508
0.074000	0.04	12.570915
0.074667	0.04	12.601711
0.075333	0.04	12.587600
0.076000	0.04	12.579255
0.076667	0.04	12.588235
0.077333	0.04	12.586308
0.078000	0.04	12.611366
0.078667	0.04	12.614572
0.079333	0.04	12.628083
0.080000	0.04	12.646767
0.080667	0.04	12.642255
0.081333	0.04	12.645489
0.082000	0.04	12.631300
0.082667	0.04	12.637757
0.083333	0.04	12.623578
0.084000	0.04	12.642255
0.084667	0.04	12.615846
0.085333	0.04	12.630017
0.086000	0.04	12.617141
0.086667	0.04	12.604929
0.087333	0.04	12.592079
0.088000	0.04	12.579898
0.088667	0.04	12.557466
0.089333	0.04	12.558100
0.090000	0.04	12.556183
0.090667	0.04	12.531241
0.091333	0.04	12.548500
0.092000	0.04	12.535073
0.092667	0.04	12.560023
0.093333	0.04	12.556831
0.094000	0.04	12.547233
0.094667	0.04	12.557466
0.095333	0.04	12.577328
0.096000	0.04	12.545951
0.096667	0.04	12.540820
0.097333	0.04	12.532515
0.098000	0.04	12.559396
0.098667	0.04	12.581168
0.099333	0.04	12.576686
0.100000	0.04	12.588235
0.100667	0.04	12.606859
0.101333	0.04	12.623578
0.102000	0.04	12.630663
0.102667	0.04	12.669365
0.103333	0.04	12.657748
0.104000	0.04	12.650002
0.104667	0.04	12.655802
0.105333	0.04	12.677755
0.106000	0.04	12.668064
0.106667	0.04	12.648058
0.107333	0.04	12.629373
0.108000	0.04	12.593365
0.108667	0.04	12.636460
0.109333	0.04	12.634525
0.110000	0.04	12.621638
0.110667	0.04	12.605573
0.111333	0.04	12.603005
0.112000	0.04	12.588879
0.112667	0.04	12.564513
0.113333	0.04	12.554909
0.114000	0.04	12.551069
0.114667	0.04	12.561306
0.115333	0.04	12.529968
0.116000	0.04	12.512729
0.116667	0.04	12.537641
0.117333	0.04	12.524219
0.118000	0.04	12.545951
0.118667	0.04	12.564513
0.119333	0.04	12.581810
0.120000	0.04	12.601711
0.120667	0.04	12.606859
0.121333	0.04	12.594644
0.122000	0.04	12.606859
0.122667	0.04	12.613928
0.123333	0.04	12.588879
0.124000	0.04	12.626795
0.124667	0.04	12.603649
0.125333	0.04	12.626148
0.126000	0.04	12.615846
0.126667	0.04	12.573469
0.127333	0.04	12.594644
0.128000	0.04	12.604929
0.128667	0.04	12.611366
0.129333	0.04	12.613928
0.130000	0.04	12.618436
0.130667	0.04	12.630663
0.131333	0.04	12.635170
0.132000	0.04	12.633243
0.132667	0.04	12.615216
0.133333	0.04	12.614572
0.134000	0.04	12.610723
0.134667	0.04	12.604929
0.135333	0.04	12.583088
0.136000	0.04	12.571558
0.136667	0.04	12.561941
0.137333	0.04	12.542742
0.138000	0.04	12.559396
0.138667	0.04	12.548500
0.139333	0.04	12.554909
0.140000	0.04	12.523565
0.140667	0.04	12.529328
0.141333	0.04	12.570915
0.142000	0.04	12.560672
0.142667	0.04	12.581810
0.143333	0.04	12.586944
0.144000	0.04	12.586308
0.144667	0.04	12.599795
0.145333	0.04	12.646767
0.146000	0.04	12.630017
0.146667	0.04	12.632598
0.147333	0.04	12.637098
0.148000	0.04	12.646767
0.148667	0.04	12.668064
0.149333	0.04	12.662906
0.150000	0.04	12.673232
0.150667	0.04	12.679697
0.151333	0.04	12.696526
0.152000	0.04	12.668064
0.152667	0.04	12.671946
0.153333	0.04	12.659680
0.154000	0.04	12.642906
0.154667	0.04	12.642255
0.155333	0.04	12.645489
0.156000	0.04	12.640325
0.156667	0.04	12.660318
0.157333	0.04	12.664185
0.158000	0.04	12.670645
0.158667	0.04	12.687461
