File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/393.smp/TCD_AuxRight.channel/TCD_AuxRight.chm
Channel	TCD_AuxRight

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	83
Position	3
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	29-Apr-25
Injection Time	21:52:55
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	12001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	mV
Signal Min.	-8.690801
Signal Max.	294.552490
Channel	TCD_AuxRight
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.1
Max. Step (s)	0.1
Average Step (s)	0.1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (mV)
0.000000	n.a.	-0.049228
0.001667	0.1	-0.049151
0.003333	0.1	-0.050693
0.005000	0.1	-0.051350
0.006667	0.1	-0.052006
0.008333	0.1	-0.052161
0.010000	0.1	-0.052161
0.011667	0.1	-0.052161
0.013333	0.1	-0.052161
0.015000	0.1	-0.052161
0.016667	0.1	-0.052161
0.018333	0.1	-0.052161
0.020000	0.1	-0.052161
0.021667	0.1	-0.052161
0.023333	0.1	-0.052161
0.025000	0.1	-0.052161
0.026667	0.1	-0.052161
0.028333	0.1	-0.052161
0.030000	0.1	-0.052161
0.031667	0.1	-0.052161
0.033333	0.1	-0.052161
0.035000	0.1	-0.052161
0.036667	0.1	-0.052161
0.038333	0.1	-0.052161
0.040000	0.1	-0.052161
0.041667	0.1	-0.052161
0.043333	0.1	-0.052161
0.045000	0.1	-0.052161
0.046667	0.1	-0.052161
0.048333	0.1	-0.052161
0.050000	0.1	-0.052161
0.051667	0.1	-0.052161
0.053333	0.1	-0.052161
0.055000	0.1	-0.052161
0.056667	0.1	-0.052161
0.058333	0.1	-0.052161
0.060000	0.1	-0.052161
0.061667	0.1	-0.052161
0.063333	0.1	-0.052161
0.065000	0.1	-0.052161
0.066667	0.1	-0.052161
0.068333	0.1	-0.052161
0.070000	0.1	-0.052161
0.071667	0.1	-0.052161
0.073333	0.1	-0.052161
0.075000	0.1	-0.052161
0.076667	0.1	-0.052161
0.078333	0.1	-0.052161
0.080000	0.1	-0.052161
0.081667	0.1	-0.052161
0.083333	0.1	-0.052161
0.085000	0.1	-0.052161
0.086667	0.1	-0.052161
0.088333	0.1	-0.052161
0.090000	0.1	-0.052161
0.091667	0.1	-0.052161
0.093333	0.1	-0.052161
0.095000	0.1	-0.052161
0.096667	0.1	-0.052161
0.098333	0.1	-0.052161
0.100000	0.1	-0.052161
0.101667	0.1	-0.052161
0.103333	0.1	-0.052161
0.105000	0.1	-0.052161
0.106667	0.1	-0.052161
0.108333	0.1	-0.052161
0.110000	0.1	-0.052161
0.111667	0.1	-0.052161
0.113333	0.1	-0.052161
0.115000	0.1	-0.052161
0.116667	0.1	-0.052161
0.118333	0.1	-0.052161
0.120000	0.1	-0.052161
0.121667	0.1	-0.052161
0.123333	0.1	-0.052161
0.125000	0.1	-0.052161
0.126667	0.1	-0.052161
0.128333	0.1	-0.052161
0.130000	0.1	-0.052161
0.131667	0.1	-0.052161
0.133333	0.1	-0.052161
0.135000	0.1	-0.052161
0.136667	0.1	-0.052161
0.138333	0.1	-0.052161
0.140000	0.1	-0.052161
0.141667	0.1	-0.052161
0.143333	0.1	-0.052161
0.145000	0.1	-0.052161
0.146667	0.1	-0.052161
0.148333	0.1	-0.052161
0.150000	0.1	-0.052161
0.151667	0.1	-0.052161
0.153333	0.1	-0.052161
0.155000	0.1	-0.052161
0.156667	0.1	-0.019019
0.158333	0.1	-0.022262
0.160000	0.1	-0.020100
0.161667	0.1	-0.019136
0.163333	0.1	-0.016396
0.165000	0.1	-0.013657
0.166667	0.1	-0.011766
0.168333	0.1	-0.010648
0.170000	0.1	-0.008218
0.171667	0.1	-0.007331
0.173333	0.1	-0.005826
0.175000	0.1	-0.003356
0.176667	0.1	-0.002585
0.178333	0.1	0.000424
0.180000	0.1	0.002469
0.181667	0.1	0.004862
0.183333	0.1	0.005903
0.185000	0.1	0.008604
0.186667	0.1	0.011073
0.188333	0.1	0.013656
0.190000	0.1	0.015509
0.191667	0.1	0.018286
0.193333	0.1	0.020487
0.195000	0.1	0.023456
0.196667	0.1	0.026041
0.198333	0.1	0.028626
0.200000	0.1	0.032485
0.201667	0.1	0.036072
0.203333	0.1	0.040394
0.205000	0.1	0.045409
0.206667	0.1	0.048264
0.208333	0.1	0.050462
0.210000	0.1	0.051890
0.211667	0.1	0.053935
0.213333	0.1	0.056945
0.215000	0.1	0.059182
0.216667	0.1	0.063116
0.218333	0.1	0.065663
0.220000	0.1	0.069020
0.221667	0.1	0.071373
0.223333	0.1	0.074574
0.225000	0.1	0.078395
0.226667	0.1	0.081944
0.228333	0.1	0.085493
0.230000	0.1	0.089892
0.231667	0.1	0.093171
0.233333	0.1	0.098110
0.235000	0.1	0.101156
0.236667	0.1	0.105053
0.238333	0.1	0.109451
0.240000	0.1	0.112230
0.241667	0.1	0.116241
0.243333	0.1	0.120292
0.245000	0.1	0.123379
0.246667	0.1	0.127777
0.248333	0.1	0.131558
0.250000	0.1	0.134645
0.251667	0.1	0.139003
0.253333	0.1	0.141975
0.255000	0.1	0.145948
0.256667	0.1	0.149999
0.258333	0.1	0.153626
0.260000	0.1	0.156944
0.261667	0.1	0.161495
0.263333	0.1	0.165585
0.265000	0.1	0.169482
0.266667	0.1	0.173880
0.268333	0.1	0.178394
0.270000	0.1	0.183910
0.271667	0.1	0.188154
0.273333	0.1	0.191511
0.275000	0.1	0.195562
0.276667	0.1	0.199151
0.278333	0.1	0.204899
0.280000	0.1	0.207638
0.281667	0.1	0.211612
0.283333	0.1	0.215933
0.285000	0.1	0.219636
0.286667	0.1	0.224189
0.288333	0.1	0.228008
0.290000	0.1	0.232252
0.291667	0.1	0.236149
0.293333	0.1	0.239467
0.295000	0.1	0.243594
0.296667	0.1	0.247877
0.298333	0.1	0.250500
0.300000	0.1	0.254782
0.301667	0.1	0.259181
0.303333	0.1	0.264042
0.305000	0.1	0.268323
0.306667	0.1	0.272028
0.308333	0.1	0.277042
0.310000	0.1	0.281286
0.311667	0.1	0.285492
0.313333	0.1	0.289003
0.315000	0.1	0.293517
0.316667	0.1	0.298841
0.318333	0.1	0.303471
0.320000	0.1	0.307868
0.321667	0.1	0.313308
0.323333	0.1	0.317783
0.325000	0.1	0.322220
0.326667	0.1	0.327583
0.328333	0.1	0.331402
0.330000	0.1	0.334566
0.331667	0.1	0.338231
0.333333	0.1	0.342861
0.335000	0.1	0.347529
0.336667	0.1	0.350615
0.338333	0.1	0.354937
0.340000	0.1	0.360107
0.341667	0.1	0.364426
0.343333	0.1	0.368246
0.345000	0.1	0.372568
0.346667	0.1	0.376387
0.348333	0.1	0.380901
0.350000	0.1	0.384257
0.351667	0.1	0.389002
0.353333	0.1	0.392743
0.355000	0.1	0.396641
0.356667	0.1	0.401888
0.358333	0.1	0.404742
0.360000	0.1	0.408793
0.361667	0.1	0.412575
0.363333	0.1	0.416356
0.365000	0.1	0.421100
0.366667	0.1	0.424921
0.368333	0.1	0.429279
0.370000	0.1	0.434257
0.371667	0.1	0.437844
0.373333	0.1	0.442012
0.375000	0.1	0.446564
0.376667	0.1	0.450653
0.378333	0.1	0.455282
0.380000	0.1	0.460722
0.381667	0.1	0.465005
0.383333	0.1	0.469248
0.385000	0.1	0.473917
0.386667	0.1	0.478546
0.388333	0.1	0.482289
0.390000	0.1	0.484988
0.391667	0.1	0.489078
0.393333	0.1	0.493090
0.395000	0.1	0.496140
0.396667	0.1	0.502041
0.398333	0.1	0.505745
0.400000	0.1	0.509603
0.401667	0.1	0.513771
0.403333	0.1	0.517743
0.405000	0.1	0.522373
0.406667	0.1	0.527156
0.408333	0.1	0.531594
0.410000	0.1	0.535799
0.411667	0.1	0.540082
0.413333	0.1	0.544172
0.415000	0.1	0.548415
0.416667	0.1	0.553893
0.418333	0.1	0.558716
0.420000	0.1	0.563036
0.421667	0.1	0.566239
0.423333	0.1	0.569634
0.425000	0.1	0.574148
0.426667	0.1	0.578507
0.428333	0.1	0.581786
0.430000	0.1	0.584795
0.431667	0.1	0.589425
0.433333	0.1	0.593361
