File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/382.smp/FID.channel/FID.chm
Channel	FID

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	34
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	29-Apr-25
Injection Time	04:29:15
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	30001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	12.503801
Signal Max.	118.817810
Channel	FID
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.04
Max. Step (s)	0.04
Average Step (s)	0.04

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	12.719856
0.000667	0.04	12.733465
0.001333	0.04	12.752970
0.002000	0.04	12.732837
0.002667	0.04	12.711423
0.003333	0.04	12.734780
0.004000	0.04	12.717908
0.004667	0.04	12.717908
0.005333	0.04	12.672593
0.006000	0.04	12.673893
0.006667	0.04	12.683581
0.007333	0.04	12.686179
0.008000	0.04	12.684884
0.008667	0.04	12.691990
0.009333	0.04	12.680999
0.010000	0.04	12.693285
0.010667	0.04	12.701050
0.011333	0.04	12.676461
0.012000	0.04	12.668718
0.012667	0.04	12.635816
0.013333	0.04	12.576044
0.014000	0.04	12.544663
0.014667	0.04	12.513993
0.015333	0.04	12.503801
0.016000	0.04	12.522946
0.016667	0.04	12.511457
0.017333	0.04	12.527410
0.018000	0.04	12.543388
0.018667	0.04	12.542115
0.019333	0.04	12.556831
0.020000	0.04	12.525491
0.020667	0.04	12.538914
0.021333	0.04	12.586944
0.022000	0.04	12.574759
0.022667	0.04	12.588879
0.023333	0.04	12.634525
0.024000	0.04	12.621007
0.024667	0.04	12.646767
0.025333	0.04	12.643552
0.026000	0.04	12.677115
0.026667	0.04	12.674526
0.027333	0.04	12.654510
0.028000	0.04	12.659680
0.028667	0.04	12.668064
0.029333	0.04	12.657748
0.030000	0.04	12.667424
0.030667	0.04	12.665484
0.031333	0.04	12.660318
0.032000	0.04	12.687461
0.032667	0.04	12.647419
0.033333	0.04	12.657748
0.034000	0.04	12.670011
0.034667	0.04	12.633894
0.035333	0.04	12.640964
0.036000	0.04	12.652572
0.036667	0.04	12.635816
0.037333	0.04	12.670645
0.038000	0.04	12.665484
0.038667	0.04	12.684884
0.039333	0.04	12.665484
0.040000	0.04	12.693285
0.040667	0.04	12.695878
0.041333	0.04	12.722439
0.042000	0.04	12.714655
0.042667	0.04	12.712071
0.043333	0.04	12.736724
0.044000	0.04	12.717251
0.044667	0.04	12.727636
0.045333	0.04	12.756226
0.046000	0.04	12.738018
0.046667	0.04	12.739325
0.047333	0.04	12.747105
0.048000	0.04	12.755568
0.048667	0.04	12.699760
0.049333	0.04	12.732179
0.050000	0.04	12.716609
0.050667	0.04	12.733465
0.051333	0.04	12.728286
0.052000	0.04	12.706232
0.052667	0.04	12.729579
0.053333	0.04	12.722439
0.054000	0.04	12.713363
0.054667	0.04	12.715960
0.055333	0.04	12.726980
0.056000	0.04	12.726336
0.056667	0.04	12.710773
0.057333	0.04	12.669365
0.058000	0.04	12.698470
0.058667	0.04	12.686812
0.059333	0.04	12.720490
0.060000	0.04	12.707529
0.060667	0.04	12.684230
0.061333	0.04	12.710125
0.062000	0.04	12.711423
0.062667	0.04	12.697174
0.063333	0.04	12.681640
0.064000	0.04	12.626148
0.064667	0.04	12.609435
0.065333	0.04	12.640964
0.066000	0.04	12.633894
0.066667	0.04	12.635816
0.067333	0.04	12.651939
0.068000	0.04	12.654510
0.068667	0.04	12.662906
0.069333	0.04	12.646121
0.070000	0.04	12.644198
0.070667	0.04	12.648704
0.071333	0.04	12.667424
0.072000	0.04	12.634525
0.072667	0.04	12.663545
0.073333	0.04	12.633894
0.074000	0.04	12.652572
0.074667	0.04	12.654510
0.075333	0.04	12.612646
0.076000	0.04	12.610723
0.076667	0.04	12.594644
0.077333	0.04	12.601089
0.078000	0.04	12.576686
0.078667	0.04	12.577328
0.079333	0.04	12.552343
0.080000	0.04	12.565147
0.080667	0.04	12.552343
0.081333	0.04	12.569632
0.082000	0.04	12.569632
0.082667	0.04	12.574124
0.083333	0.04	12.571558
0.084000	0.04	12.581810
0.084667	0.04	12.586944
0.085333	0.04	12.583088
0.086000	0.04	12.610065
0.086667	0.04	12.567714
0.087333	0.04	12.615216
0.088000	0.04	12.587600
0.088667	0.04	12.622289
0.089333	0.04	12.649357
0.090000	0.04	12.639680
0.090667	0.04	12.624229
0.091333	0.04	12.627445
0.092000	0.04	12.608790
0.092667	0.04	12.641616
0.093333	0.04	12.626148
0.094000	0.04	12.599152
0.094667	0.04	12.633243
0.095333	0.04	12.633894
0.096000	0.04	12.628083
0.096667	0.04	12.633243
0.097333	0.04	12.631300
0.098000	0.04	12.640325
0.098667	0.04	12.639680
0.099333	0.04	12.619718
0.100000	0.04	12.617141
0.100667	0.04	12.613928
0.101333	0.04	12.623578
0.102000	0.04	12.639680
0.102667	0.04	12.628083
0.103333	0.04	12.637757
0.104000	0.04	12.639680
0.104667	0.04	12.652572
0.105333	0.04	12.648058
0.106000	0.04	12.646121
0.106667	0.04	12.643552
0.107333	0.04	12.640964
0.108000	0.04	12.648704
0.108667	0.04	12.641616
0.109333	0.04	12.653864
0.110000	0.04	12.653217
0.110667	0.04	12.699760
0.111333	0.04	12.710125
0.112000	0.04	12.681640
0.112667	0.04	12.685525
