File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/415.smp/TCD_AuxRight.channel/TCD_AuxRight.chm
Channel	TCD_AuxRight

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	31
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	29-Apr-25
Injection Time	03:25:20
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	12001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	mV
Signal Min.	-8.791495
Signal Max.	298.282928
Channel	TCD_AuxRight
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.1
Max. Step (s)	0.1
Average Step (s)	0.1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (mV)
0.000000	n.a.	-0.042207
0.001667	0.1	-0.042939
0.003333	0.1	-0.042669
0.005000	0.1	-0.043441
0.006667	0.1	-0.044136
0.008333	0.1	-0.043943
0.010000	0.1	-0.044406
0.011667	0.1	-0.044406
0.013333	0.1	-0.044406
0.015000	0.1	-0.044406
0.016667	0.1	-0.044406
0.018333	0.1	-0.044406
0.020000	0.1	-0.044406
0.021667	0.1	-0.044406
0.023333	0.1	-0.044406
0.025000	0.1	-0.044406
0.026667	0.1	-0.044406
0.028333	0.1	-0.044406
0.030000	0.1	-0.044406
0.031667	0.1	-0.044406
0.033333	0.1	-0.044406
0.035000	0.1	-0.044406
0.036667	0.1	-0.044406
0.038333	0.1	-0.044406
0.040000	0.1	-0.044406
0.041667	0.1	-0.044406
0.043333	0.1	-0.044406
0.045000	0.1	-0.044406
0.046667	0.1	-0.044406
0.048333	0.1	-0.044406
0.050000	0.1	-0.044406
0.051667	0.1	-0.044406
0.053333	0.1	-0.044406
0.055000	0.1	-0.044406
0.056667	0.1	-0.044406
0.058333	0.1	-0.044406
0.060000	0.1	-0.044406
0.061667	0.1	-0.044406
0.063333	0.1	-0.044406
0.065000	0.1	-0.044406
0.066667	0.1	-0.044406
0.068333	0.1	-0.044406
0.070000	0.1	-0.044406
0.071667	0.1	-0.044406
0.073333	0.1	-0.044406
0.075000	0.1	-0.044406
0.076667	0.1	-0.044406
0.078333	0.1	-0.044406
0.080000	0.1	-0.044406
0.081667	0.1	-0.044406
0.083333	0.1	-0.044406
0.085000	0.1	-0.044406
0.086667	0.1	-0.044406
0.088333	0.1	-0.044406
0.090000	0.1	-0.044406
0.091667	0.1	-0.044406
0.093333	0.1	-0.044406
0.095000	0.1	-0.044406
0.096667	0.1	-0.044406
0.098333	0.1	-0.044406
0.100000	0.1	-0.044406
0.101667	0.1	-0.044406
0.103333	0.1	-0.044406
0.105000	0.1	-0.044406
0.106667	0.1	-0.044406
0.108333	0.1	-0.044406
0.110000	0.1	-0.044406
0.111667	0.1	-0.044406
0.113333	0.1	-0.044406
0.115000	0.1	-0.044406
0.116667	0.1	-0.044406
0.118333	0.1	-0.044406
0.120000	0.1	-0.044406
0.121667	0.1	-0.044406
0.123333	0.1	-0.044406
0.125000	0.1	-0.044406
0.126667	0.1	-0.044406
0.128333	0.1	-0.044406
0.130000	0.1	-0.044406
0.131667	0.1	-0.044406
0.133333	0.1	-0.044406
0.135000	0.1	-0.044406
0.136667	0.1	-0.044406
0.138333	0.1	-0.044406
0.140000	0.1	-0.044406
0.141667	0.1	-0.044406
0.143333	0.1	-0.044406
0.145000	0.1	-0.044406
0.146667	0.1	-0.044406
0.148333	0.1	-0.044406
0.150000	0.1	-0.044406
0.151667	0.1	-0.044406
0.153333	0.1	-0.044406
0.155000	0.1	-0.009066
0.156667	0.1	-0.013387
0.158333	0.1	-0.011265
0.160000	0.1	-0.011420
0.161667	0.1	-0.009529
0.163333	0.1	-0.008140
0.165000	0.1	-0.005633
0.166667	0.1	-0.002777
0.168333	0.1	-0.001582
0.170000	0.1	0.001080
0.171667	0.1	0.002122
0.173333	0.1	0.002585
0.175000	0.1	0.004243
0.176667	0.1	0.006482
0.178333	0.1	0.009182
0.180000	0.1	0.011381
0.181667	0.1	0.014930
0.183333	0.1	0.017516
0.185000	0.1	0.020949
0.186667	0.1	0.023689
0.188333	0.1	0.026003
0.190000	0.1	0.029821
0.191667	0.1	0.033256
0.193333	0.1	0.035030
0.195000	0.1	0.037847
0.196667	0.1	0.041280
0.198333	0.1	0.043711
0.200000	0.1	0.045254
0.201667	0.1	0.049112
0.203333	0.1	0.052006
0.205000	0.1	0.062809
0.206667	0.1	0.069599
0.208333	0.1	0.070640
0.210000	0.1	0.071103
0.211667	0.1	0.073881
0.213333	0.1	0.074574
0.215000	0.1	0.075232
0.216667	0.1	0.077623
0.218333	0.1	0.080517
0.220000	0.1	0.082908
0.221667	0.1	0.085686
0.223333	0.1	0.090586
0.225000	0.1	0.093672
0.226667	0.1	0.096759
0.228333	0.1	0.100038
0.230000	0.1	0.103239
0.231667	0.1	0.105824
0.233333	0.1	0.108680
0.235000	0.1	0.112692
0.236667	0.1	0.116241
0.238333	0.1	0.119058
0.240000	0.1	0.122029
0.241667	0.1	0.125577
0.243333	0.1	0.129360
0.245000	0.1	0.132561
0.246667	0.1	0.136805
0.248333	0.1	0.139080
0.250000	0.1	0.142052
0.251667	0.1	0.144675
0.253333	0.1	0.147954
0.255000	0.1	0.150771
0.256667	0.1	0.155053
0.258333	0.1	0.158487
0.260000	0.1	0.162615
0.261667	0.1	0.166936
0.263333	0.1	0.170486
0.265000	0.1	0.174652
0.266667	0.1	0.179242
0.268333	0.1	0.184143
0.270000	0.1	0.187537
0.271667	0.1	0.192745
0.273333	0.1	0.196681
0.275000	0.1	0.201155
0.276667	0.1	0.205516
0.278333	0.1	0.208640
0.280000	0.1	0.213772
0.281667	0.1	0.216974
0.283333	0.1	0.221333
0.285000	0.1	0.225192
0.286667	0.1	0.228819
0.288333	0.1	0.233487
0.290000	0.1	0.237884
0.291667	0.1	0.241703
0.293333	0.1	0.245292
0.295000	0.1	0.249805
0.296667	0.1	0.256132
