File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/101-200-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/886.smp/TCD_AuxRight.channel/TCD_AuxRight.chm
Channel	TCD_AuxRight

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	7
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	30-Apr-25
Injection Time	06:24:08
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	12001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	mV
Signal Min.	-0.396679
Signal Max.	4.171733
Channel	TCD_AuxRight
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.1
Max. Step (s)	0.1
Average Step (s)	0.1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (mV)
0.000000	n.a.	-0.047646
0.001667	0.1	-0.048263
0.003333	0.1	-0.048649
0.005000	0.1	-0.047917
0.006667	0.1	-0.049459
0.008333	0.1	-0.050000
0.010000	0.1	-0.050964
0.011667	0.1	-0.050964
0.013333	0.1	-0.050964
0.015000	0.1	-0.050964
0.016667	0.1	-0.050964
0.018333	0.1	-0.050964
0.020000	0.1	-0.050964
0.021667	0.1	-0.050964
0.023333	0.1	-0.050964
0.025000	0.1	-0.050964
0.026667	0.1	-0.050964
0.028333	0.1	-0.050964
0.030000	0.1	-0.050964
0.031667	0.1	-0.050964
0.033333	0.1	-0.050964
0.035000	0.1	-0.050964
0.036667	0.1	-0.050964
0.038333	0.1	-0.050964
0.040000	0.1	-0.050964
0.041667	0.1	-0.050964
0.043333	0.1	-0.050964
0.045000	0.1	-0.050964
0.046667	0.1	-0.050964
0.048333	0.1	-0.050964
0.050000	0.1	-0.050964
0.051667	0.1	-0.050964
0.053333	0.1	-0.050964
0.055000	0.1	-0.050964
0.056667	0.1	-0.050964
0.058333	0.1	-0.050964
0.060000	0.1	-0.050964
0.061667	0.1	-0.050964
0.063333	0.1	-0.050964
0.065000	0.1	-0.050964
0.066667	0.1	-0.050964
0.068333	0.1	-0.050964
0.070000	0.1	-0.050964
0.071667	0.1	-0.050964
0.073333	0.1	-0.050964
0.075000	0.1	-0.050964
0.076667	0.1	-0.050964
0.078333	0.1	-0.050964
0.080000	0.1	-0.050964
0.081667	0.1	-0.050964
0.083333	0.1	-0.050964
0.085000	0.1	-0.050964
0.086667	0.1	-0.050964
0.088333	0.1	-0.050964
0.090000	0.1	-0.050964
0.091667	0.1	-0.050964
0.093333	0.1	-0.050964
0.095000	0.1	-0.050964
0.096667	0.1	-0.050964
0.098333	0.1	-0.050964
0.100000	0.1	-0.050964
0.101667	0.1	-0.050964
0.103333	0.1	-0.050964
0.105000	0.1	-0.050964
0.106667	0.1	-0.050964
0.108333	0.1	-0.050964
0.110000	0.1	-0.050964
0.111667	0.1	-0.050964
0.113333	0.1	-0.050964
0.115000	0.1	-0.050964
0.116667	0.1	-0.050964
0.118333	0.1	-0.050964
0.120000	0.1	-0.050964
0.121667	0.1	-0.050964
0.123333	0.1	-0.050964
0.125000	0.1	-0.050964
0.126667	0.1	-0.050964
0.128333	0.1	-0.050964
0.130000	0.1	-0.050964
0.131667	0.1	-0.050964
0.133333	0.1	-0.050964
0.135000	0.1	-0.050964
0.136667	0.1	-0.050964
0.138333	0.1	-0.050964
0.140000	0.1	-0.050964
0.141667	0.1	-0.050964
0.143333	0.1	-0.050964
0.145000	0.1	-0.050964
0.146667	0.1	-0.050964
0.148333	0.1	-0.050964
0.150000	0.1	-0.050964
0.151667	0.1	-0.050964
0.153333	0.1	-0.050964
0.155000	0.1	-0.050964
0.156667	0.1	-0.050964
0.158333	0.1	0.009915
0.160000	0.1	-0.015779
0.161667	0.1	-0.014197
0.163333	0.1	-0.012539
0.165000	0.1	-0.009645
0.166667	0.1	-0.007793
0.168333	0.1	-0.005286
0.170000	0.1	-0.003973
0.171667	0.1	-0.002045
0.173333	0.1	0.000116
0.175000	0.1	0.003086
0.176667	0.1	0.006288
0.178333	0.1	0.008064
0.180000	0.1	0.011111
0.181667	0.1	0.015200
0.183333	0.1	0.016666
0.185000	0.1	0.019059
0.186667	0.1	0.022453
0.188333	0.1	0.025463
0.190000	0.1	0.027277
0.191667	0.1	0.030246
0.193333	0.1	0.031520
0.195000	0.1	0.034336
0.196667	0.1	0.036458
0.198333	0.1	0.039159
0.200000	0.1	0.041359
0.201667	0.1	0.043827
0.203333	0.1	0.046952
0.205000	0.1	0.053124
0.206667	0.1	0.057214
0.208333	0.1	0.060301
0.210000	0.1	0.063579
0.211667	0.1	0.065278
0.213333	0.1	0.069136
0.215000	0.1	0.071488
0.216667	0.1	0.074807
0.218333	0.1	0.076581
0.220000	0.1	0.080555
0.221667	0.1	0.083949
0.223333	0.1	0.086883
0.225000	0.1	0.090045
0.226667	0.1	0.092708
0.228333	0.1	0.096449
0.230000	0.1	0.099653
0.231667	0.1	0.103588
0.233333	0.1	0.106712
0.235000	0.1	0.110493
0.236667	0.1	0.114621
0.238333	0.1	0.117978
0.240000	0.1	0.121759
0.241667	0.1	0.125694
0.243333	0.1	0.129628
0.245000	0.1	0.133447
0.246667	0.1	0.136612
0.248333	0.1	0.140431
0.250000	0.1	0.144135
0.251667	0.1	0.148688
0.253333	0.1	0.151928
0.255000	0.1	0.155748
0.256667	0.1	0.159489
0.258333	0.1	0.163579
0.260000	0.1	0.167090
0.261667	0.1	0.170486
0.263333	0.1	0.174072
0.265000	0.1	0.178625
0.266667	0.1	0.183024
0.268333	0.1	0.187692
0.270000	0.1	0.191550
0.271667	0.1	0.194444
0.273333	0.1	0.198070
0.275000	0.1	0.203702
0.276667	0.1	0.207715
0.278333	0.1	0.210569
0.280000	0.1	0.215354
0.281667	0.1	0.220368
0.283333	0.1	0.224806
0.285000	0.1	0.228008
0.286667	0.1	0.233447
0.288333	0.1	0.237305
0.290000	0.1	0.241549
0.291667	0.1	0.244635
0.293333	0.1	0.247954
0.295000	0.1	0.251388
0.296667	0.1	0.256519
0.298333	0.1	0.260608
0.300000	0.1	0.264968
0.301667	0.1	0.269327
0.303333	0.1	0.273531
0.305000	0.1	0.278393
0.306667	0.1	0.282868
0.308333	0.1	0.286571
0.310000	0.1	0.290970
0.311667	0.1	0.295947
0.313333	0.1	0.299265
0.315000	0.1	0.304742
0.316667	0.1	0.308525
0.318333	0.1	0.313038
0.320000	0.1	0.317282
0.321667	0.1	0.320406
0.323333	0.1	0.324535
0.325000	0.1	0.327659
0.326667	0.1	0.331904
0.328333	0.1	0.335992
0.330000	0.1	0.339852
0.331667	0.1	0.344520
0.333333	0.1	0.348416
0.335000	0.1	0.353122
0.336667	0.1	0.356903
0.338333	0.1	0.361842
0.340000	0.1	0.365738
0.341667	0.1	0.369789
0.343333	0.1	0.375576
0.345000	0.1	0.379936
0.346667	0.1	0.382483
0.348333	0.1	0.387421
0.350000	0.1	0.392590
0.351667	0.1	0.395599
0.353333	0.1	0.399342
0.355000	0.1	0.403624
0.356667	0.1	0.407714
0.358333	0.1	0.412419
0.360000	0.1	0.416779
0.361667	0.1	0.421294
0.363333	0.1	0.425808
0.365000	0.1	0.429897
0.366667	0.1	0.432945
0.368333	0.1	0.436995
0.370000	0.1	0.441972
0.371667	0.1	0.446254
0.373333	0.1	0.449920
0.375000	0.1	0.454511
0.376667	0.1	0.458406
0.378333	0.1	0.462189
0.380000	0.1	0.466510
0.381667	0.1	0.470290
0.383333	0.1	0.475459
0.385000	0.1	0.479434
0.386667	0.1	0.483986
0.388333	0.1	0.488346
0.390000	0.1	0.491084
0.391667	0.1	0.497721
0.393333	0.1	0.500846
0.395000	0.1	0.506208
0.396667	0.1	0.510645
0.398333	0.1	0.513962
0.400000	0.1	0.518940
0.401667	0.1	0.522181
0.403333	0.1	0.526462
0.405000	0.1	0.530089
0.406667	0.1	0.533677
0.408333	0.1	0.538423
0.410000	0.1	0.541085
0.411667	0.1	0.544789
0.413333	0.1	0.547913
0.415000	0.1	0.552736
0.416667	0.1	0.557018
0.418333	0.1	0.559758
0.420000	0.1	0.564541
0.421667	0.1	0.567899
0.423333	0.1	0.571177
0.425000	0.1	0.575769
0.426667	0.1	0.580860
0.428333	0.1	0.584217
0.430000	0.1	0.588036
0.431667	0.1	0.592512
0.433333	0.1	0.596369
0.435000	0.1	0.600999
0.436667	0.1	0.605321
0.438333	0.1	0.607750
0.440000	0.1	0.611146
0.441667	0.1	0.614579
0.443333	0.1	0.618129
0.445000	0.1	0.621486
0.446667	0.1	0.625420
0.448333	0.1	0.629240
0.450000	0.1	0.633406
0.451667	0.1	0.637572
0.453333	0.1	0.641508
0.455000	0.1	0.645327
0.456667	0.1	0.648568
0.458333	0.1	0.651654
0.460000	0.1	0.656169
0.461667	0.1	0.661261
0.463333	0.1	0.664193
0.465000	0.1	0.668978
0.466667	0.1	0.672913
0.468333	0.1	0.677040
0.470000	0.1	0.680551
0.471667	0.1	0.683830
0.473333	0.1	0.688190
0.475000	0.1	0.691970
0.476667	0.1	0.694517
0.478333	0.1	0.697295
0.480000	0.1	0.700574
0.481667	0.1	0.703121
0.483333	0.1	0.707403
0.485000	0.1	0.711646
0.486667	0.1	0.715003
0.488333	0.1	0.718745
0.490000	0.1	0.721677
0.491667	0.1	0.726036
0.493333	0.1	0.730860
0.495000	0.1	0.735335
0.496667	0.1	0.738692
0.498333	0.1	0.742202
0.500000	0.1	0.745712
0.501667	0.1	0.748259
0.503333	0.1	0.752542
0.505000	0.1	0.756052
0.506667	0.1	0.758059
0.508333	0.1	0.762803
0.510000	0.1	0.765852
0.511667	0.1	0.767703
0.513333	0.1	0.770751
0.515000	0.1	0.775534
0.516667	0.1	0.778776
0.518333	0.1	0.781206
0.520000	0.1	0.784679
0.521667	0.1	0.788190
0.523333	0.1	0.791584
0.525000	0.1	0.794556
0.526667	0.1	0.798412
0.528333	0.1	0.800959
0.530000	0.1	0.804393
0.531667	0.1	0.808405
0.533333	0.1	0.811839
0.535000	0.1	0.814964
0.536667	0.1	0.818783
0.538333	0.1	0.821986
0.540000	0.1	0.825767
0.541667	0.1	0.829084
0.543333	0.1	0.833135
0.545000	0.1	0.837417
0.546667	0.1	0.839347
0.548333	0.1	0.843513
0.550000	0.1	0.847293
0.551667	0.1	0.850882
0.553333	0.1	0.854046
0.555000	0.1	0.857864
0.556667	0.1	0.861221
0.558333	0.1	0.863768
0.560000	0.1	0.867857
0.561667	0.1	0.870635
0.563333	0.1	0.874377
0.565000	0.1	0.877695
0.566667	0.1	0.880396
0.568333	0.1	0.884368
0.570000	0.1	0.887957
0.571667	0.1	0.890504
0.573333	0.1	0.893089
0.575000	0.1	0.896830
0.576667	0.1	0.900033
0.578333	0.1	0.902194
0.580000	0.1	0.904624
0.581667	0.1	0.907825
0.583333	0.1	0.910642
0.585000	0.1	0.913691
0.586667	0.1	0.917007
0.588333	0.1	0.919940
0.590000	0.1	0.923373
0.591667	0.1	0.924724
0.593333	0.1	0.928620
0.595000	0.1	0.931939
0.596667	0.1	0.935334
0.598333	0.1	0.937532
0.600000	0.1	0.940233
0.601667	0.1	0.944014
0.603333	0.1	0.946059
0.605000	0.1	0.949570
0.606667	0.1	0.951653
0.608333	0.1	0.954817
0.610000	0.1	0.956784
0.611667	0.1	0.959138
0.613333	0.1	0.960758
0.615000	0.1	0.964616
0.616667	0.1	0.966776
0.618333	0.1	0.969245
0.620000	0.1	0.973373
0.621667	0.1	0.975650
0.623333	0.1	0.979662
0.625000	0.1	0.981783
0.626667	0.1	0.985603
0.628333	0.1	0.988690
0.630000	0.1	0.993011
0.631667	0.1	0.995479
0.633333	0.1	0.998103
0.635000	0.1	0.999800
0.636667	0.1	1.003157
0.638333	0.1	1.005318
0.640000	0.1	1.008905
0.641667	0.1	1.010834
0.643333	0.1	1.013110
0.645000	0.1	1.015425
0.646667	0.1	1.016582
0.648333	0.1	1.017895
0.650000	0.1	1.021367
0.651667	0.1	1.022718
0.653333	0.1	1.025187
0.655000	0.1	1.028465
0.656667	0.1	1.030820
0.658333	0.1	1.033288
0.660000	0.1	1.036182
0.661667	0.1	1.039422
0.663333	0.1	1.042779
0.665000	0.1	1.044939
0.666667	0.1	1.048026
0.668333	0.1	1.049838
0.670000	0.1	1.051883
0.671667	0.1	1.055279
0.673333	0.1	1.056551
0.675000	0.1	1.060217
0.676667	0.1	1.063149
0.678333	0.1	1.064538
0.680000	0.1	1.066467
0.681667	0.1	1.068319
0.683333	0.1	1.070364
0.685000	0.1	1.074068
0.686667	0.1	1.075842
0.688333	0.1	1.078582
0.690000	0.1	1.080395
0.691667	0.1	1.082825
0.693333	0.1	1.084986
0.695000	0.1	1.086721
0.696667	0.1	1.090773
0.698333	0.1	1.093049
0.700000	0.1	1.096560
0.701667	0.1	1.098528
0.703333	0.1	1.099375
0.705000	0.1	1.103196
0.706667	0.1	1.104777
0.708333	0.1	1.107284
0.710000	0.1	1.107980
0.711667	0.1	1.110293
0.713333	0.1	1.112261
0.715000	0.1	1.114461
0.716667	0.1	1.116428
0.718333	0.1	1.117624
0.720000	0.1	1.119630
0.721667	0.1	1.121560
0.723333	0.1	1.122678
0.725000	0.1	1.124259
0.726667	0.1	1.125880
0.728333	0.1	1.128889
0.730000	0.1	1.130819
0.731667	0.1	1.134638
0.733333	0.1	1.136373
0.735000	0.1	1.138032
0.736667	0.1	1.140424
0.738333	0.1	1.143511
0.740000	0.1	1.144322
0.741667	0.1	1.147407
0.743333	0.1	1.149762
0.745000	0.1	1.151575
0.746667	0.1	1.153388
0.748333	0.1	1.155162
0.750000	0.1	1.156744
0.751667	0.1	1.159213
0.753333	0.1	1.160255
0.755000	0.1	1.162723
0.756667	0.1	1.166119
0.758333	0.1	1.167431
0.760000	0.1	1.169629
0.761667	0.1	1.171327
0.763333	0.1	1.173410
0.765000	0.1	1.176806
0.766667	0.1	1.178234
0.768333	0.1	1.180200
0.770000	0.1	1.182284
0.771667	0.1	1.183944
0.773333	0.1	1.185989
0.775000	0.1	1.188958
0.776667	0.1	1.191311
0.778333	0.1	1.193163
0.780000	0.1	1.194901
0.781667	0.1	1.195825
0.783333	0.1	1.198449
0.785000	0.1	1.199722
0.786667	0.1	1.203502
0.788333	0.1	1.204777
0.790000	0.1	1.207206
0.791667	0.1	1.209251
0.793333	0.1	1.211257
0.795000	0.1	1.213727
0.796667	0.1	1.216004
0.798333	0.1	1.219476
0.800000	0.1	1.220980
0.801667	0.1	1.222253
0.803333	0.1	1.224684
0.805000	0.1	1.225416
0.806667	0.1	1.228002
0.808333	0.1	1.228889
0.810000	0.1	1.230509
0.811667	0.1	1.233095
0.813333	0.1	1.234599
0.815000	0.1	1.236682
0.816667	0.1	1.236682
0.818333	0.1	1.237724
0.820000	0.1	1.239845
0.821667	0.1	1.241929
0.823333	0.1	1.243318
