File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/999.smp/TCD_AuxRight.channel/TCD_AuxRight.chm
Channel	TCD_AuxRight

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	75
Position	2
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	29-Apr-25
Injection Time	19:02:30
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	12001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	mV
Signal Min.	-8.002148
Signal Max.	282.548920
Channel	TCD_AuxRight
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.1
Max. Step (s)	0.1
Average Step (s)	0.1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (mV)
0.000000	n.a.	-0.049923
0.001667	0.1	-0.051041
0.003333	0.1	-0.049267
0.005000	0.1	-0.050346
0.006667	0.1	-0.049729
0.008333	0.1	-0.050424
0.010000	0.1	-0.050733
0.011667	0.1	-0.050733
0.013333	0.1	-0.050733
0.015000	0.1	-0.050733
0.016667	0.1	-0.050733
0.018333	0.1	-0.050733
0.020000	0.1	-0.050733
0.021667	0.1	-0.050733
0.023333	0.1	-0.050733
0.025000	0.1	-0.050733
0.026667	0.1	-0.050733
0.028333	0.1	-0.050733
0.030000	0.1	-0.050733
0.031667	0.1	-0.050733
0.033333	0.1	-0.050733
0.035000	0.1	-0.050733
0.036667	0.1	-0.050733
0.038333	0.1	-0.050733
0.040000	0.1	-0.050733
0.041667	0.1	-0.050733
0.043333	0.1	-0.050733
0.045000	0.1	-0.050733
0.046667	0.1	-0.050733
0.048333	0.1	-0.050733
0.050000	0.1	-0.050733
0.051667	0.1	-0.050733
0.053333	0.1	-0.050733
0.055000	0.1	-0.050733
0.056667	0.1	-0.050733
0.058333	0.1	-0.050733
0.060000	0.1	-0.050733
0.061667	0.1	-0.050733
0.063333	0.1	-0.050733
0.065000	0.1	-0.050733
0.066667	0.1	-0.050733
0.068333	0.1	-0.050733
0.070000	0.1	-0.050733
0.071667	0.1	-0.050733
0.073333	0.1	-0.050733
0.075000	0.1	-0.050733
0.076667	0.1	-0.050733
0.078333	0.1	-0.050733
0.080000	0.1	-0.050733
0.081667	0.1	-0.050733
0.083333	0.1	-0.050733
0.085000	0.1	-0.050733
0.086667	0.1	-0.050733
0.088333	0.1	-0.050733
0.090000	0.1	-0.050733
0.091667	0.1	-0.050733
0.093333	0.1	-0.050733
0.095000	0.1	-0.050733
0.096667	0.1	-0.050733
0.098333	0.1	-0.050733
0.100000	0.1	-0.050733
0.101667	0.1	-0.050733
0.103333	0.1	-0.050733
0.105000	0.1	-0.050733
0.106667	0.1	-0.050733
0.108333	0.1	-0.050733
0.110000	0.1	-0.050733
0.111667	0.1	-0.050733
0.113333	0.1	-0.050733
0.115000	0.1	-0.050733
0.116667	0.1	-0.050733
0.118333	0.1	-0.050733
0.120000	0.1	-0.050733
0.121667	0.1	-0.050733
0.123333	0.1	-0.050733
0.125000	0.1	-0.050733
0.126667	0.1	-0.050733
0.128333	0.1	-0.050733
0.130000	0.1	-0.050733
0.131667	0.1	-0.050733
0.133333	0.1	-0.050733
0.135000	0.1	-0.050733
0.136667	0.1	-0.050733
0.138333	0.1	-0.050733
0.140000	0.1	-0.050733
0.141667	0.1	-0.050733
0.143333	0.1	-0.050733
0.145000	0.1	-0.050733
0.146667	0.1	-0.050733
0.148333	0.1	-0.050733
0.150000	0.1	-0.050733
0.151667	0.1	-0.050733
0.153333	0.1	-0.050733
0.155000	0.1	-0.050733
0.156667	0.1	-0.050733
0.158333	0.1	-0.005362
0.160000	0.1	-0.018865
0.161667	0.1	-0.017978
0.163333	0.1	-0.016936
0.165000	0.1	-0.014891
0.166667	0.1	-0.014159
0.168333	0.1	-0.011574
0.170000	0.1	-0.009221
0.171667	0.1	-0.005015
0.173333	0.1	-0.004552
0.175000	0.1	-0.004012
0.176667	0.1	-0.002007
0.178333	0.1	0.000656
0.180000	0.1	0.003357
0.181667	0.1	0.005441
0.183333	0.1	0.008140
0.185000	0.1	0.010995
0.186667	0.1	0.013618
0.188333	0.1	0.015625
0.190000	0.1	0.018441
0.191667	0.1	0.020370
0.193333	0.1	0.023187
0.195000	0.1	0.026968
0.196667	0.1	0.029745
0.198333	0.1	0.033642
0.200000	0.1	0.037229
0.201667	0.1	0.040394
0.203333	0.1	0.043518
0.205000	0.1	0.047801
0.206667	0.1	0.051196
0.208333	0.1	0.053703
0.210000	0.1	0.055131
0.211667	0.1	0.058063
0.213333	0.1	0.061458
0.215000	0.1	0.064120
0.216667	0.1	0.068209
0.218333	0.1	0.071797
0.220000	0.1	0.075115
0.221667	0.1	0.078896
0.223333	0.1	0.082329
0.225000	0.1	0.084722
0.226667	0.1	0.088541
0.228333	0.1	0.092321
0.230000	0.1	0.094521
0.231667	0.1	0.098110
0.233333	0.1	0.102430
0.235000	0.1	0.106364
0.236667	0.1	0.109799
0.238333	0.1	0.112460
0.240000	0.1	0.115894
0.241667	0.1	0.119521
0.243333	0.1	0.122491
0.245000	0.1	0.125887
0.246667	0.1	0.129204
0.248333	0.1	0.132830
0.250000	0.1	0.136689
0.251667	0.1	0.141549
0.253333	0.1	0.145292
0.255000	0.1	0.149960
0.256667	0.1	0.152506
0.258333	0.1	0.155555
0.260000	0.1	0.159296
0.261667	0.1	0.162693
0.263333	0.1	0.166974
0.265000	0.1	0.170292
0.266667	0.1	0.174459
0.268333	0.1	0.177660
0.270000	0.1	0.182213
0.271667	0.1	0.186842
0.273333	0.1	0.190084
0.275000	0.1	0.194444
0.276667	0.1	0.199227
0.278333	0.1	0.203973
0.280000	0.1	0.208526
0.281667	0.1	0.211996
0.283333	0.1	0.216665
0.285000	0.1	0.219751
0.286667	0.1	0.225114
0.288333	0.1	0.229512
0.290000	0.1	0.234180
0.291667	0.1	0.238848
0.293333	0.1	0.242899
0.295000	0.1	0.247799
0.296667	0.1	0.251657
0.298333	0.1	0.255631
0.300000	0.1	0.259181
0.301667	0.1	0.263579
0.303333	0.1	0.266936
0.305000	0.1	0.271140
0.306667	0.1	0.274227
0.308333	0.1	0.279435
0.310000	0.1	0.284644
0.311667	0.1	0.288887
0.313333	0.1	0.292978
0.315000	0.1	0.296218
0.316667	0.1	0.300345
0.318333	0.1	0.305516
0.320000	0.1	0.309528
0.321667	0.1	0.312883
0.323333	0.1	0.317051
0.325000	0.1	0.321141
0.326667	0.1	0.324574
0.328333	0.1	0.328161
0.330000	0.1	0.333563
0.331667	0.1	0.337575
0.333333	0.1	0.341434
0.335000	0.1	0.345407
0.336667	0.1	0.349882
0.338333	0.1	0.353624
0.340000	0.1	0.358254
0.341667	0.1	0.364311
0.343333	0.1	0.368284
0.345000	0.1	0.371564
0.346667	0.1	0.378199
0.348333	0.1	0.382057
0.350000	0.1	0.386804
0.351667	0.1	0.390931
0.353333	0.1	0.395830
0.355000	0.1	0.401309
0.356667	0.1	0.405360
0.358333	0.1	0.409410
0.360000	0.1	0.412845
0.361667	0.1	0.416858
0.363333	0.1	0.420638
0.365000	0.1	0.424921
0.366667	0.1	0.426849
0.368333	0.1	0.431478
0.370000	0.1	0.436031
0.371667	0.1	0.440197
0.373333	0.1	0.444750
0.375000	0.1	0.448492
0.376667	0.1	0.452852
0.378333	0.1	0.456749
0.380000	0.1	0.460607
0.381667	0.1	0.463924
0.383333	0.1	0.468245
0.385000	0.1	0.471370
0.386667	0.1	0.476232
0.388333	0.1	0.480744
0.390000	0.1	0.484256
0.391667	0.1	0.488422
0.393333	0.1	0.492782
0.395000	0.1	0.497373
0.396667	0.1	0.500846
0.398333	0.1	0.505243
0.400000	0.1	0.508523
0.401667	0.1	0.512652
0.403333	0.1	0.516085
0.405000	0.1	0.519827
0.406667	0.1	0.523686
0.408333	0.1	0.527002
0.410000	0.1	0.530128
0.411667	0.1	0.533600
0.413333	0.1	0.536570
0.415000	0.1	0.540660
0.416667	0.1	0.544557
0.418333	0.1	0.548685
0.420000	0.1	0.552041
0.421667	0.1	0.556054
0.423333	0.1	0.559987
0.425000	0.1	0.563848
0.426667	0.1	0.569286
0.428333	0.1	0.573800
0.430000	0.1	0.579009
0.431667	0.1	0.582482
0.433333	0.1	0.586570
0.435000	0.1	0.590467
0.436667	0.1	0.594634
0.438333	0.1	0.598916
0.440000	0.1	0.600960
0.441667	0.1	0.606322
0.443333	0.1	0.608021
0.445000	0.1	0.612149
0.446667	0.1	0.614735
0.448333	0.1	0.618939
0.450000	0.1	0.622180
0.451667	0.1	0.625420
0.453333	0.1	0.629318
0.455000	0.1	0.632634
0.456667	0.1	0.635644
0.458333	0.1	0.640621
0.460000	0.1	0.643669
0.461667	0.1	0.647835
0.463333	0.1	0.652272
0.465000	0.1	0.656362
0.466667	0.1	0.659448
0.468333	0.1	0.665041
0.470000	0.1	0.668553
0.471667	0.1	0.673260
0.473333	0.1	0.676115
0.475000	0.1	0.681632
0.476667	0.1	0.685066
0.478333	0.1	0.688498
0.480000	0.1	0.691778
0.481667	0.1	0.696369
0.483333	0.1	0.699571
0.485000	0.1	0.704046
0.486667	0.1	0.708059
0.488333	0.1	0.711839
0.490000	0.1	0.715467
0.491667	0.1	0.719518
0.493333	0.1	0.722256
0.495000	0.1	0.726693
0.496667	0.1	0.729702
0.498333	0.1	0.732943
0.500000	0.1	0.736685
0.501667	0.1	0.740234
0.503333	0.1	0.744284
0.505000	0.1	0.747950
0.506667	0.1	0.753004
0.508333	0.1	0.757595
0.510000	0.1	0.761685
0.511667	0.1	0.765658
0.513333	0.1	0.769671
0.515000	0.1	0.772988
0.516667	0.1	0.776152
0.518333	0.1	0.778390
0.520000	0.1	0.781785
0.521667	0.1	0.785219
0.523333	0.1	0.787804
0.525000	0.1	0.790813
0.526667	0.1	0.793782
0.528333	0.1	0.796985
0.530000	0.1	0.799802
0.531667	0.1	0.802888
0.533333	0.1	0.805936
0.535000	0.1	0.809023
0.536667	0.1	0.812803
0.538333	0.1	0.814386
0.540000	0.1	0.817471
