File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/199.smp/FID.channel/FID.chm
Channel	FID

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	27
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	29-Apr-25
Injection Time	02:00:09
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	30001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	12.407933
Signal Max.	118.218575
Channel	FID
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.04
Max. Step (s)	0.04
Average Step (s)	0.04

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	12.620370
0.000667	0.04	12.629373
0.001333	0.04	12.586308
0.002000	0.04	12.606209
0.002667	0.04	12.603005
0.003333	0.04	12.585022
0.004000	0.04	12.604279
0.004667	0.04	12.578599
0.005333	0.04	12.559396
0.006000	0.04	12.553619
0.006667	0.04	12.554909
0.007333	0.04	12.545304
0.008000	0.04	12.576044
0.008667	0.04	12.577328
0.009333	0.04	12.565147
0.010000	0.04	12.545304
0.010667	0.04	12.540188
0.011333	0.04	12.542115
0.012000	0.04	12.551069
0.012667	0.04	12.535714
0.013333	0.04	12.522301
0.014000	0.04	12.503801
0.014667	0.04	12.457991
0.015333	0.04	12.420582
0.016000	0.04	12.433250
0.016667	0.04	12.425650
0.017333	0.04	12.449746
0.018000	0.04	12.465619
0.018667	0.04	12.479609
0.019333	0.04	12.509548
0.020000	0.04	12.511457
0.020667	0.04	12.535073
0.021333	0.04	12.565147
0.022000	0.04	12.577977
0.022667	0.04	12.595936
0.023333	0.04	12.573469
0.024000	0.04	12.599152
0.024667	0.04	12.597866
0.025333	0.04	12.622289
0.026000	0.04	12.622289
0.026667	0.04	12.615216
0.027333	0.04	12.629373
0.028000	0.04	12.614572
0.028667	0.04	12.606859
0.029333	0.04	12.601711
0.030000	0.04	12.606209
0.030667	0.04	12.617141
0.031333	0.04	12.646121
0.032000	0.04	12.624229
0.032667	0.04	12.597866
0.033333	0.04	12.611366
0.034000	0.04	12.594644
0.034667	0.04	12.613928
0.035333	0.04	12.632598
0.036000	0.04	12.594007
0.036667	0.04	12.619075
0.037333	0.04	12.640325
0.038000	0.04	12.616497
0.038667	0.04	12.608140
0.039333	0.04	12.595936
0.040000	0.04	12.625511
0.040667	0.04	12.635170
0.041333	0.04	12.629373
0.042000	0.04	12.651939
0.042667	0.04	12.634525
0.043333	0.04	12.651294
0.044000	0.04	12.667424
0.044667	0.04	12.662906
0.045333	0.04	12.667424
0.046000	0.04	12.639680
0.046667	0.04	12.648704
0.047333	0.04	12.630017
0.048000	0.04	12.601711
0.048667	0.04	12.641616
0.049333	0.04	12.623578
0.050000	0.04	12.624866
0.050667	0.04	12.610065
0.051333	0.04	12.587600
0.052000	0.04	12.575401
0.052667	0.04	12.609435
0.053333	0.04	12.603005
0.054000	0.04	12.610723
0.054667	0.04	12.579255
0.055333	0.04	12.615216
0.056000	0.04	12.619718
0.056667	0.04	12.609435
0.057333	0.04	12.604929
0.058000	0.04	12.573469
0.058667	0.04	12.584380
