File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/421.smp/FID.channel/FID.chm
Channel	FID

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	76
Position	3
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	29-Apr-25
Injection Time	19:23:48
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	30001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	12.524853
Signal Max.	138.215668
Channel	FID
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.04
Max. Step (s)	0.04
Average Step (s)	0.04

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	12.848280
0.000667	0.04	12.856790
0.001333	0.04	12.835175
0.002000	0.04	12.846960
0.002667	0.04	12.842391
0.003333	0.04	12.822744
0.004000	0.04	12.814243
0.004667	0.04	12.867296
0.005333	0.04	12.849578
0.006000	0.04	12.870574
0.006667	0.04	12.888301
0.007333	0.04	12.837147
0.008000	0.04	12.854834
0.008667	0.04	12.852217
0.009333	0.04	12.860078
0.010000	0.04	12.873867
0.010667	0.04	12.879106
0.011333	0.04	12.852866
0.012000	0.04	12.904740
0.012667	0.04	12.906724
0.013333	0.04	12.883709
0.014000	0.04	12.858102
0.014667	0.04	12.820787
0.015333	0.04	12.781615
0.016000	0.04	12.750380
0.016667	0.04	12.781615
0.017333	0.04	12.811633
0.018000	0.04	12.827975
0.018667	0.04	12.820787
0.019333	0.04	12.856140
0.020000	0.04	12.881743
0.020667	0.04	12.904740
0.021333	0.04	12.913975
0.022000	0.04	12.916604
0.022667	0.04	12.892906
0.023333	0.04	12.888958
0.024000	0.04	12.885675
0.024667	0.04	12.885675
0.025333	0.04	12.894223
0.026000	0.04	12.899491
0.026667	0.04	12.876476
0.027333	0.04	12.855476
0.028000	0.04	12.900149
0.028667	0.04	12.874511
0.029333	0.04	12.887649
0.030000	0.04	12.894223
0.030667	0.04	12.900801
0.031333	0.04	12.894881
0.032000	0.04	12.879770
0.032667	0.04	12.854834
0.033333	0.04	12.887649
0.034000	0.04	12.885675
0.034667	0.04	12.869260
0.035333	0.04	12.890933
0.036000	0.04	12.894223
0.036667	0.04	12.913301
0.037333	0.04	12.944963
0.038000	0.04	12.960158
0.038667	0.04	12.933087
0.039333	0.04	12.949591
0.040000	0.04	12.926486
0.040667	0.04	12.920562
0.041333	0.04	12.923854
0.042000	0.04	12.887649
0.042667	0.04	12.876476
0.043333	0.04	12.867296
0.044000	0.04	12.852217
0.044667	0.04	12.871881
0.045333	0.04	12.881085
0.046000	0.04	12.885675
0.046667	0.04	12.867953
0.047333	0.04	12.879106
0.048000	0.04	12.882386
0.048667	0.04	12.869917
0.049333	0.04	12.914626
0.050000	0.04	12.921228
0.050667	0.04	12.918575
0.051333	0.04	12.919895
0.052000	0.04	12.946280
0.052667	0.04	12.951574
0.053333	0.04	12.948923
0.054000	0.04	12.937042
0.054667	0.04	12.963461
0.055333	0.04	12.930439
0.056000	0.04	12.944303
0.056667	0.04	12.922527
0.057333	0.04	12.923186
0.058000	0.04	12.906079
0.058667	0.04	12.896856
0.059333	0.04	12.889623
0.060000	0.04	12.915278
0.060667	0.04	12.879106
0.061333	0.04	12.883709
0.062000	0.04	12.850242
0.062667	0.04	12.816214
0.063333	0.04	12.829947
0.064000	0.04	12.816214
0.064667	0.04	12.815559
0.065333	0.04	12.798572
0.066000	0.04	12.805107
0.066667	0.04	12.804447
0.067333	0.04	12.803802
0.068000	0.04	12.768584
0.068667	0.04	12.763371
0.069333	0.04	12.772496
0.070000	0.04	12.765984
0.070667	0.04	12.747768
0.071333	0.04	12.702995
0.072000	0.04	12.723096
0.072667	0.04	12.691334
0.073333	0.04	12.725695
0.074000	0.04	12.725695
0.074667	0.04	12.749722
0.075333	0.04	12.725695
0.076000	0.04	12.757528
0.076667	0.04	12.743214
0.077333	0.04	12.738674
0.078000	0.04	12.758831
0.078667	0.04	12.762089
0.079333	0.04	12.741277
0.080000	0.04	12.764680
0.080667	0.04	12.751017
0.081333	0.04	12.762089
0.082000	0.04	12.771198
0.082667	0.04	12.746474
0.083333	0.04	12.741277
0.084000	0.04	12.748419
