File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/401.smp/FID.channel/FID.chm
Channel	FID

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	46
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	29-Apr-25
Injection Time	08:44:48
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	30001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	12.739968
Signal Max.	126.926369
Channel	FID
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.04
Max. Step (s)	0.04
Average Step (s)	0.04

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	12.893572
0.000667	0.04	12.864011
0.001333	0.04	12.877132
0.002000	0.04	12.878454
0.002667	0.04	12.901467
0.003333	0.04	12.917924
0.004000	0.04	12.883038
0.004667	0.04	12.893572
0.005333	0.04	12.917257
0.006000	0.04	12.937702
0.006667	0.04	12.919236
0.007333	0.04	12.908708
0.008000	0.04	12.942981
0.008667	0.04	12.908042
0.009333	0.04	12.950245
0.010000	0.04	12.960820
0.010667	0.04	12.974704
0.011333	0.04	12.966763
0.012000	0.04	12.919895
0.012667	0.04	12.906079
0.013333	0.04	12.869260
0.014000	0.04	12.816214
0.014667	0.04	12.802493
0.015333	0.04	12.821434
0.016000	0.04	12.812287
0.016667	0.04	12.827320
0.017333	0.04	12.861384
0.018000	0.04	12.860729
0.018667	0.04	12.888958
0.019333	0.04	12.885017
0.020000	0.04	12.875833
0.020667	0.04	12.883709
0.021333	0.04	12.889623
0.022000	0.04	12.906724
0.022667	0.04	12.921228
0.023333	0.04	12.911337
0.024000	0.04	12.902119
0.024667	0.04	12.927805
0.025333	0.04	12.924507
0.026000	0.04	12.929779
0.026667	0.04	12.870574
0.027333	0.04	12.905405
0.028000	0.04	12.904740
0.028667	0.04	12.913975
0.029333	0.04	12.897522
0.030000	0.04	12.897522
0.030667	0.04	12.901467
0.031333	0.04	12.905405
