File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/101-200-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/442.smp/FID.channel/FID.chm
Channel	FID

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	16
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	30-Apr-25
Injection Time	09:35:51
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	30001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	12.668064
Signal Max.	14.759111
Channel	FID
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.04
Max. Step (s)	0.04
Average Step (s)	0.04

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	13.162021
0.000667	0.04	13.143909
0.001333	0.04	13.137201
0.002000	0.04	13.125149
0.002667	0.04	13.119126
0.003333	0.04	13.139892
0.004000	0.04	13.107759
0.004667	0.04	13.119126
0.005333	0.04	13.141890
0.006000	0.04	13.147930
0.006667	0.04	13.145252
0.007333	0.04	13.165380
0.008000	0.04	13.146594
0.008667	0.04	13.145909
0.009333	0.04	13.149280
0.010000	0.04	13.181515
0.010667	0.04	13.200349
0.011333	0.04	13.195647
0.012000	0.04	13.180842
0.012667	0.04	13.135859
0.013333	0.04	13.109083
0.014000	0.04	13.076365
0.014667	0.04	13.065695
0.015333	0.04	13.040400
0.016000	0.04	13.036420
0.016667	0.04	13.043720
0.017333	0.04	13.077032
0.018000	0.04	13.115100
0.018667	0.04	13.129833
0.019333	0.04	13.117102
0.020000	0.04	13.133184
0.020667	0.04	13.139892
0.021333	0.04	13.145252
0.022000	0.04	13.154645
0.022667	0.04	13.168061
0.023333	0.04	13.173441
0.024000	0.04	13.130510
0.024667	0.04	13.146594
0.025333	0.04	13.119789
0.026000	0.04	13.117102
0.026667	0.04	13.127830
0.027333	0.04	13.126503
0.028000	0.04	13.147930
0.028667	0.04	13.145252
0.029333	0.04	13.154645
