File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/337.smp/FID.channel/FID.chm
Channel	FID

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	55
Position	3
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	29-Apr-25
Injection Time	11:56:32
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	30001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	12.435156
Signal Max.	137.731049
Channel	FID
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.04
Max. Step (s)	0.04
Average Step (s)	0.04

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	12.594007
0.000667	0.04	12.628728
0.001333	0.04	12.637757
0.002000	0.04	12.613291
0.002667	0.04	12.595936
0.003333	0.04	12.623578
0.004000	0.04	12.613291
0.004667	0.04	12.621638
0.005333	0.04	12.613928
0.006000	0.04	12.628083
0.006667	0.04	12.623578
0.007333	0.04	12.628083
0.008000	0.04	12.633243
0.008667	0.04	12.614572
0.009333	0.04	12.579255
0.010000	0.04	12.599795
0.010667	0.04	12.584380
0.011333	0.04	12.619718
0.012000	0.04	12.644836
0.012667	0.04	12.592729
0.013333	0.04	12.590793
0.014000	0.04	12.577328
0.014667	0.04	12.548500
0.015333	0.04	12.515917
0.016000	0.04	12.498064
0.016667	0.04	12.516562
0.017333	0.04	12.518479
0.018000	0.04	12.560023
0.018667	0.04	12.570915
0.019333	0.04	12.586308
0.020000	0.04	12.628083
0.020667	0.04	12.640325
0.021333	0.04	12.681640
0.022000	0.04	12.692636
0.022667	0.04	12.721797
0.023333	0.04	12.732837
0.024000	0.04	12.769243
0.024667	0.04	12.792700
0.025333	0.04	12.784226
0.026000	0.04	12.773801
0.026667	0.04	12.746474
0.027333	0.04	12.753613
0.028000	0.04	12.734117
0.028667	0.04	12.740626
0.029333	0.04	12.710773
0.030000	0.04	12.691334
0.030667	0.04	12.715318
0.031333	0.04	12.710125
0.032000	0.04	12.736073
0.032667	0.04	12.700401
0.033333	0.04	12.704299
0.034000	0.04	12.679697
0.034667	0.04	12.715318
0.035333	0.04	12.680999
0.036000	0.04	12.691990
0.036667	0.04	12.668064
0.037333	0.04	12.669365
0.038000	0.04	12.719199
0.038667	0.04	12.682935
0.039333	0.04	12.721140
0.040000	0.04	12.733465
0.040667	0.04	12.731529
0.041333	0.04	12.734117
0.042000	0.04	12.769889
0.042667	0.04	12.768584
0.043333	0.04	12.780970
0.044000	0.04	12.766636
0.044667	0.04	12.792046
0.045333	0.04	12.775099
0.046000	0.04	12.771198
0.046667	0.04	12.788782
0.047333	0.04	12.810325
0.048000	0.04	12.818169
0.048667	0.04	12.791400
0.049333	0.04	12.820132
0.050000	0.04	12.802493
0.050667	0.04	12.827975
0.051333	0.04	12.799232
0.052000	0.04	12.801833
0.052667	0.04	12.778359
0.053333	0.04	12.789434
0.054000	0.04	12.784226
0.054667	0.04	12.793360
0.055333	0.04	12.749722
0.056000	0.04	12.751017
0.056667	0.04	12.749071
0.057333	0.04	12.738018
0.058000	0.04	12.729579
0.058667	0.04	12.756878
0.059333	0.04	12.723739
0.060000	0.04	12.734117
0.060667	0.04	12.693285
0.061333	0.04	12.737367
0.062000	0.04	12.695222
0.062667	0.04	12.708179
0.063333	0.04	12.715960
0.064000	0.04	12.704299
0.064667	0.04	12.712071
0.065333	0.04	12.690693
0.066000	0.04	12.712708
0.066667	0.04	12.683581
0.067333	0.04	12.664185
0.068000	0.04	12.646767
0.068667	0.04	12.626148
0.069333	0.04	12.642906
0.070000	0.04	12.604279
0.070667	0.04	12.606209
0.071333	0.04	12.622289
0.072000	0.04	12.589521
0.072667	0.04	12.609435
0.073333	0.04	12.613291
0.074000	0.04	12.618436
0.074667	0.04	12.622289
0.075333	0.04	12.624229
0.076000	0.04	12.617141
0.076667	0.04	12.645489
0.077333	0.04	12.653217
0.078000	0.04	12.667424
0.078667	0.04	12.690052
0.079333	0.04	12.675180
0.080000	0.04	12.724388
0.080667	0.04	12.680345
0.081333	0.04	12.695878
0.082000	0.04	12.680345
0.082667	0.04	12.690693
0.083333	0.04	12.704934
0.084000	0.04	12.705591
0.084667	0.04	12.717908
0.085333	0.04	12.738018
0.086000	0.04	12.717251
0.086667	0.04	12.738018
0.087333	0.04	12.730243
0.088000	0.04	12.699105
0.088667	0.04	12.707529
0.089333	0.04	12.715960
0.090000	0.04	12.696526
0.090667	0.04	12.700401
0.091333	0.04	12.741920
0.092000	0.04	12.732179
0.092667	0.04	12.719856
0.093333	0.04	12.711423
0.094000	0.04	12.706882
0.094667	0.04	12.725695
0.095333	0.04	12.724388
0.096000	0.04	12.700401
0.096667	0.04	12.714655
0.097333	0.04	12.710125
0.098000	0.04	12.707529
0.098667	0.04	12.730879
0.099333	0.04	12.715960
0.100000	0.04	12.739968
0.100667	0.04	12.728286
0.101333	0.04	12.710125
0.102000	0.04	12.718550
0.102667	0.04	12.696526
0.103333	0.04	12.705591
0.104000	0.04	12.734117
0.104667	0.04	12.693933
0.105333	0.04	12.714655
0.106000	0.04	12.696526
0.106667	0.04	12.671946
0.107333	0.04	12.674526
0.108000	0.04	12.662906
0.108667	0.04	12.657095
0.109333	0.04	12.645489
0.110000	0.04	12.658387
0.110667	0.04	12.661612
0.111333	0.04	12.648058
0.112000	0.04	12.626795
0.112667	0.04	12.629373
0.113333	0.04	12.610723
0.114000	0.04	12.566438
0.114667	0.04	12.581810
0.115333	0.04	12.564513
0.116000	0.04	12.534433
0.116667	0.04	12.551689
0.117333	0.04	12.543388
0.118000	0.04	12.542115
0.118667	0.04	12.543388
0.119333	0.04	12.540188
0.120000	0.04	12.573469
0.120667	0.04	12.559396
0.121333	0.04	12.585666
0.122000	0.04	12.593365
0.122667	0.04	12.609435
0.123333	0.04	12.599795
0.124000	0.04	12.570281
0.124667	0.04	12.579255
0.125333	0.04	12.586308
0.126000	0.04	12.558741
0.126667	0.04	12.553619
0.127333	0.04	12.524219
0.128000	0.04	12.539541
0.128667	0.04	12.523565
0.129333	0.04	12.519744
0.130000	0.04	12.506342
0.130667	0.04	12.491699
0.131333	0.04	12.516562
0.132000	0.04	12.502525
0.132667	0.04	12.489148
0.133333	0.04	12.513993
0.134000	0.04	12.521662
0.134667	0.04	12.527410
0.135333	0.04	12.532515
0.136000	0.04	12.549154
0.136667	0.04	12.540188
0.137333	0.04	12.530602
0.138000	0.04	12.568369
0.138667	0.04	12.565788
0.139333	0.04	12.571558
0.140000	0.04	12.555550
0.140667	0.04	12.538274
0.141333	0.04	12.541474
0.142000	0.04	12.545304
0.142667	0.04	12.567714
0.143333	0.04	12.578599
0.144000	0.04	12.545951
0.144667	0.04	12.589521
0.145333	0.04	12.565147
0.146000	0.04	12.563857
0.146667	0.04	12.593365
0.147333	0.04	12.633243
0.148000	0.04	12.642255
0.148667	0.04	12.653864
0.149333	0.04	12.648058
0.150000	0.04	12.626795
0.150667	0.04	12.626148
0.151333	0.04	12.624866
0.152000	0.04	12.631959
0.152667	0.04	12.667424
0.153333	0.04	12.649357
0.154000	0.04	12.657748
0.154667	0.04	12.657095
0.155333	0.04	12.653217
0.156000	0.04	12.670645
0.156667	0.04	12.666130
0.157333	0.04	12.640964
0.158000	0.04	12.664185
0.158667	0.04	12.615846
0.159333	0.04	12.659680
0.160000	0.04	12.641616
0.160667	0.04	12.653864
0.161333	0.04	12.645489
0.162000	0.04	12.654510
0.162667	0.04	12.629373
0.163333	0.04	12.659680
0.164000	0.04	12.666130
0.164667	0.04	12.670645
0.165333	0.04	12.664185
0.166000	0.04	12.648058
0.166667	0.04	12.635170
0.167333	0.04	12.643552
0.168000	0.04	12.628083
0.168667	0.04	12.592729
0.169333	0.04	12.590157
0.170000	0.04	12.579255
0.170667	0.04	12.566438
0.171333	0.04	12.599152
0.172000	0.04	12.565788
0.172667	0.04	12.570915
0.173333	0.04	12.567072
0.174000	0.04	12.597229
0.174667	0.04	12.558741
0.175333	0.04	12.567714
0.176000	0.04	12.522946
0.176667	0.04	12.519744
0.177333	0.04	12.506994
0.178000	0.04	12.508903
0.178667	0.04	12.509548
0.179333	0.04	12.499341
0.180000	0.04	12.535714
0.180667	0.04	12.506994
0.181333	0.04	12.505724
0.182000	0.04	12.514639
0.182667	0.04	12.487235
0.183333	0.04	12.519744
0.184000	0.04	12.510180
0.184667	0.04	12.542742
0.185333	0.04	12.519744
0.186000	0.04	12.513368
0.186667	0.04	12.522946
0.187333	0.04	12.529328
0.188000	0.04	12.561941
0.188667	0.04	12.561941
0.189333	0.04	12.570281
0.190000	0.04	12.615846
0.190667	0.04	12.594007
0.191333	0.04	12.594644
0.192000	0.04	12.570281
0.192667	0.04	12.567714
0.193333	0.04	12.594644
0.194000	0.04	12.583088
0.194667	0.04	12.579898
0.195333	0.04	12.583088
0.196000	0.04	12.587600
0.196667	0.04	12.637098
0.197333	0.04	12.628083
0.198000	0.04	12.662244
0.198667	0.04	12.651939
0.199333	0.04	12.639680
0.200000	0.04	12.624866
0.200667	0.04	12.623578
0.201333	0.04	12.591443
0.202000	0.04	12.592079
0.202667	0.04	12.574124
0.203333	0.04	12.573469
0.204000	0.04	12.549782
0.204667	0.04	12.532515
0.205333	0.04	12.567714
0.206000	0.04	12.570915
0.206667	0.04	12.556831
0.207333	0.04	12.583737
0.208000	0.04	12.550415
0.208667	0.04	12.568369
0.209333	0.04	12.569004
0.210000	0.04	12.552343
0.210667	0.04	12.572834
0.211333	0.04	12.588235
0.212000	0.04	12.580532
0.212667	0.04	12.600425
0.213333	0.04	12.575401
0.214000	0.04	12.567072
0.214667	0.04	12.592729
0.215333	0.04	12.560672
0.216000	0.04	12.569004
0.216667	0.04	12.565788
0.217333	0.04	12.564513
0.218000	0.04	12.581168
0.218667	0.04	12.587600
0.219333	0.04	12.581810
0.220000	0.04	12.599152
0.220667	0.04	12.595293
0.221333	0.04	12.621638
0.222000	0.04	12.624866
0.222667	0.04	12.653864
0.223333	0.04	12.652572
0.224000	0.04	12.637098
0.224667	0.04	12.650002
0.225333	0.04	12.628728
0.226000	0.04	12.628083
0.226667	0.04	12.597866
0.227333	0.04	12.622941
0.228000	0.04	12.635170
0.228667	0.04	12.622941
0.229333	0.04	12.604279
0.230000	0.04	12.637757
0.230667	0.04	12.630663
0.231333	0.04	12.629373
0.232000	0.04	12.642255
0.232667	0.04	12.619075
0.233333	0.04	12.624866
0.234000	0.04	12.640964
0.234667	0.04	12.621007
0.235333	0.04	12.624229
0.236000	0.04	12.641616
0.236667	0.04	12.648058
0.237333	0.04	12.630663
0.238000	0.04	12.612646
0.238667	0.04	12.652572
0.239333	0.04	12.670645
0.240000	0.04	12.664185
0.240667	0.04	12.641616
0.241333	0.04	12.666784
0.242000	0.04	12.592079
0.242667	0.04	12.601089
0.243333	0.04	12.624866
0.244000	0.04	12.602362
0.244667	0.04	12.640964
0.245333	0.04	12.639680
0.246000	0.04	12.608140
0.246667	0.04	12.593365
0.247333	0.04	12.620370
0.248000	0.04	12.626795
0.248667	0.04	12.622941
0.249333	0.04	12.633243
0.250000	0.04	12.602362
0.250667	0.04	12.642255
0.251333	0.04	12.625511
0.252000	0.04	12.637098
0.252667	0.04	12.613928
0.253333	0.04	12.585666
0.254000	0.04	12.615846
0.254667	0.04	12.603005
0.255333	0.04	12.607504
0.256000	0.04	12.563857
0.256667	0.04	12.561941
0.257333	0.04	12.564513
0.258000	0.04	12.552343
0.258667	0.04	12.573469
0.259333	0.04	12.603649
0.260000	0.04	12.585666
0.260667	0.04	12.552986
0.261333	0.04	12.607504
0.262000	0.04	12.577328
0.262667	0.04	12.521662
0.263333	0.04	12.556831
0.264000	0.04	12.554909
0.264667	0.04	12.569004
0.265333	0.04	12.572834
0.266000	0.04	12.588879
0.266667	0.04	12.571558
0.267333	0.04	12.615216
