File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/101-200-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/462.smp/FID.channel/FID.chm
Channel	FID

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	8
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	30-Apr-25
Injection Time	06:45:26
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	30001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	12.484685
Signal Max.	17.134895
Channel	FID
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.04
Max. Step (s)	0.04
Average Step (s)	0.04

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	13.221258
0.000667	0.04	13.189585
0.001333	0.04	13.199009
0.002000	0.04	13.183527
0.002667	0.04	13.208440
0.003333	0.04	13.201698
0.004000	0.04	13.208440
0.004667	0.04	13.188920
0.005333	0.04	13.248264
0.006000	0.04	13.230691
0.006667	0.04	13.234069
0.007333	0.04	13.251640
0.008000	0.04	13.264479
0.008667	0.04	13.240827
0.009333	0.04	13.250964
0.010000	0.04	13.277352
0.010667	0.04	13.270583
0.011333	0.04	13.254339
0.012000	0.04	13.208440
0.012667	0.04	13.156652
0.013333	0.04	13.155309
0.014000	0.04	13.104405
0.014667	0.04	13.122476
0.015333	0.04	13.109083
0.016000	0.04	13.083696
0.016667	0.04	13.163372
0.017333	0.04	13.145252
0.018000	0.04	13.162699
0.018667	0.04	13.168061
0.019333	0.04	13.170086
0.020000	0.04	13.152630
0.020667	0.04	13.154645
0.021333	0.04	13.132515
0.022000	0.04	13.161355
0.022667	0.04	13.170086
0.023333	0.04	13.192279
0.024000	0.04	13.196314
0.024667	0.04	13.166052
0.025333	0.04	13.153301
0.026000	0.04	13.152630
0.026667	0.04	13.140555
0.027333	0.04	13.145909
0.028000	0.04	13.164716
0.028667	0.04	13.167397
0.029333	0.04	13.151287
0.030000	0.04	13.138542
0.030667	0.04	13.137873
0.031333	0.04	13.115100
0.032000	0.04	13.135189
0.032667	0.04	13.093044
0.033333	0.04	13.104405
0.034000	0.04	13.121799
0.034667	0.04	13.121128
0.035333	0.04	13.112430
0.036000	0.04	13.133847
0.036667	0.04	13.133184
0.037333	0.04	13.123138
0.038000	0.04	13.158667
0.038667	0.04	13.165380
0.039333	0.04	13.155980
0.040000	0.04	13.141890
0.040667	0.04	13.149280
0.041333	0.04	13.155309
0.042000	0.04	13.191607
0.042667	0.04	13.133184
0.043333	0.04	13.164716
0.044000	0.04	13.182867
0.044667	0.04	13.159332
0.045333	0.04	13.165380
0.046000	0.04	13.164043
0.046667	0.04	13.185546
0.047333	0.04	13.219234
0.048000	0.04	13.219234
0.048667	0.04	13.203728
0.049333	0.04	13.212480
0.050000	0.04	13.219893
0.050667	0.04	13.198335
0.051333	0.04	13.209106
0.052000	0.04	13.197661
0.052667	0.04	13.234736
0.053333	0.04	13.207767
0.054000	0.04	13.218553
0.054667	0.04	13.230015
0.055333	0.04	13.201698
0.056000	0.04	13.212480
0.056667	0.04	13.226645
0.057333	0.04	13.220576
0.058000	0.04	13.207767
0.058667	0.04	13.209789
0.059333	0.04	13.242179
0.060000	0.04	13.227996
0.060667	0.04	13.234736
0.061333	0.04	13.248264
0.062000	0.04	13.255016
0.062667	0.04	13.225970
0.063333	0.04	13.282768
0.064000	0.04	13.289546
0.064667	0.04	13.252316
0.065333	0.04	13.269905
0.066000	0.04	13.265171
0.066667	0.04	13.247581
0.067333	0.04	13.236089
0.068000	0.04	13.220576
0.068667	0.04	13.203053
0.069333	0.04	13.200349
0.070000	0.04	13.190251
0.070667	0.04	13.199682
0.071333	0.04	13.155309
0.072000	0.04	13.149280
0.072667	0.04	13.157989
0.073333	0.04	13.174121
0.074000	0.04	13.171423
0.074667	0.04	13.189585
0.075333	0.04	13.153301
0.076000	0.04	13.137873
0.076667	0.04	13.197661
0.077333	0.04	13.223276
0.078000	0.04	13.232710
0.078667	0.04	13.194973
0.079333	0.04	13.209789
0.080000	0.04	13.207767
0.080667	0.04	13.213154
0.081333	0.04	13.226645
0.082000	0.04	13.230691
0.082667	0.04	13.212480
0.083333	0.04	13.184873
0.084000	0.04	13.209106
0.084667	0.04	13.221927
0.085333	0.04	13.220576
0.086000	0.04	13.227321
0.086667	0.04	13.230015
0.087333	0.04	13.240827
0.088000	0.04	13.263808
0.088667	0.04	13.276005
0.089333	0.04	13.252316
0.090000	0.04	13.276682
0.090667	0.04	13.263808
0.091333	0.04	13.238799
0.092000	0.04	13.240827
0.092667	0.04	13.265171
0.093333	0.04	13.250287
0.094000	0.04	13.248264
0.094667	0.04	13.203053
0.095333	0.04	13.216535
0.096000	0.04	13.224619
0.096667	0.04	13.234736
0.097333	0.04	13.221258
0.098000	0.04	13.236764
0.098667	0.04	13.238130
0.099333	0.04	13.225970
0.100000	0.04	13.234069
0.100667	0.04	13.223276
0.101333	0.04	13.219234
0.102000	0.04	13.203053
0.102667	0.04	13.237453
0.103333	0.04	13.213154
0.104000	0.04	13.176811
0.104667	0.04	13.222601
0.105333	0.04	13.196995
0.106000	0.04	13.237453
0.106667	0.04	13.233394
0.107333	0.04	13.238799
0.108000	0.04	13.284803
0.108667	0.04	13.261108
0.109333	0.04	13.283447
0.110000	0.04	13.252316
0.110667	0.04	13.242847
0.111333	0.04	13.233394
0.112000	0.04	13.227996
0.112667	0.04	13.232041
0.113333	0.04	13.250287
0.114000	0.04	13.236089
0.114667	0.04	13.252986
0.115333	0.04	13.240827
0.116000	0.04	13.249618
0.116667	0.04	13.220576
0.117333	0.04	13.231373
0.118000	0.04	13.209789
0.118667	0.04	13.207767
0.119333	0.04	13.256370
0.120000	0.04	13.223951
0.120667	0.04	13.225970
0.121333	0.04	13.250964
0.122000	0.04	13.259753
0.122667	0.04	13.248264
0.123333	0.04	13.271259
0.124000	0.04	13.280065
0.124667	0.04	13.259753
0.125333	0.04	13.312627
0.126000	0.04	13.281414
0.126667	0.04	13.293632
0.127333	0.04	13.279386
0.128000	0.04	13.300412
0.128667	0.04	13.224619
0.129333	0.04	13.217883
0.130000	0.04	13.221927
0.130667	0.04	13.238130
0.131333	0.04	13.213154
0.132000	0.04	13.209789
0.132667	0.04	13.217883
0.133333	0.04	13.220576
0.134000	0.04	13.227321
0.134667	0.04	13.248927
0.135333	0.04	13.255016
0.136000	0.04	13.245559
0.136667	0.04	13.250964
0.137333	0.04	13.236764
0.138000	0.04	13.227321
0.138667	0.04	13.196314
0.139333	0.04	13.206409
0.140000	0.04	13.215845
0.140667	0.04	13.190251
0.141333	0.04	13.187558
0.142000	0.04	13.172776
0.142667	0.04	13.187558
0.143333	0.04	13.188240
0.144000	0.04	13.174121
0.144667	0.04	13.178830
0.145333	0.04	13.156652
0.146000	0.04	13.157324
0.146667	0.04	13.169415
0.147333	0.04	13.153301
0.148000	0.04	13.159332
0.148667	0.04	13.142575
0.149333	0.04	13.133847
0.150000	0.04	13.135189
0.150667	0.04	13.134534
0.151333	0.04	13.138542
0.152000	0.04	13.160011
0.152667	0.04	13.148608
0.153333	0.04	13.158667
0.154000	0.04	13.107759
0.154667	0.04	13.125149
0.155333	0.04	13.117786
0.156000	0.04	13.098393
0.156667	0.04	13.093044
0.157333	0.04	13.085039
0.158000	0.04	13.111768
0.158667	0.04	13.119126
0.159333	0.04	13.126503
0.160000	0.04	13.117102
0.160667	0.04	13.117102
0.161333	0.04	13.125149
0.162000	0.04	13.145252
0.162667	0.04	13.139214
0.163333	0.04	13.181515
0.164000	0.04	13.178150
0.164667	0.04	13.190932
0.165333	0.04	13.172776
0.166000	0.04	13.196314
0.166667	0.04	13.199009
0.167333	0.04	13.191607
0.168000	0.04	13.174801
0.168667	0.04	13.164716
0.169333	0.04	13.175451
0.170000	0.04	13.198335
0.170667	0.04	13.178150
0.171333	0.04	13.175451
0.172000	0.04	13.202372
0.172667	0.04	13.137873
0.173333	0.04	13.160011
0.174000	0.04	13.157989
0.174667	0.04	13.125149
0.175333	0.04	13.119789
0.176000	0.04	13.131844
0.176667	0.04	13.108420
0.177333	0.04	13.077693
0.178000	0.04	13.085708
0.178667	0.04	13.112430
0.179333	0.04	13.103067
0.180000	0.04	13.110421
0.180667	0.04	13.092382
0.181333	0.04	13.128498
0.182000	0.04	13.123138
0.182667	0.04	13.135859
0.183333	0.04	13.130510
0.184000	0.04	13.132515
0.184667	0.04	13.155980
0.185333	0.04	13.129169
0.186000	0.04	13.132515
0.186667	0.04	13.127158
0.187333	0.04	13.119126
0.188000	0.04	13.162699
0.188667	0.04	13.167397
0.189333	0.04	13.154645
0.190000	0.04	13.146594
0.190667	0.04	13.138542
0.191333	0.04	13.156652
0.192000	0.04	13.137873
0.192667	0.04	13.162699
0.193333	0.04	13.141232
0.194000	0.04	13.147265
0.194667	0.04	13.127830
0.195333	0.04	13.138542
0.196000	0.04	13.119789
0.196667	0.04	13.135189
0.197333	0.04	13.141232
0.198000	0.04	13.108420
0.198667	0.04	13.103067
0.199333	0.04	13.080371
0.200000	0.04	13.067029
0.200667	0.04	13.063694
0.201333	0.04	13.037056
0.202000	0.04	13.038409
0.202667	0.04	13.021777
0.203333	0.04	13.040400
0.204000	0.04	13.031747
0.204667	0.04	13.072367
0.205333	0.04	13.066361
0.206000	0.04	13.094388
0.206667	0.04	13.095711
0.207333	0.04	13.130510
0.208000	0.04	13.152630
0.208667	0.04	13.182180
0.209333	0.04	13.189585
0.210000	0.04	13.181515
0.210667	0.04	13.182180
0.211333	0.04	13.170759
0.212000	0.04	13.188920
0.212667	0.04	13.154645
0.213333	0.04	13.178150
0.214000	0.04	13.205742
0.214667	0.04	13.213154
0.215333	0.04	13.211130
0.216000	0.04	13.210455
0.216667	0.04	13.226645
0.217333	0.04	13.219893
0.218000	0.04	13.217216
0.218667	0.04	13.228657
0.219333	0.04	13.236764
0.220000	0.04	13.234736
0.220667	0.04	13.210455
0.221333	0.04	13.196995
0.222000	0.04	13.174121
0.222667	0.04	13.149280
0.223333	0.04	13.173441
0.224000	0.04	13.182867
0.224667	0.04	13.190932
0.225333	0.04	13.176131
0.226000	0.04	13.215845
0.226667	0.04	13.215178
0.227333	0.04	13.219893
0.228000	0.04	13.207091
0.228667	0.04	13.234069
0.229333	0.04	13.197661
0.230000	0.04	13.201698
0.230667	0.04	13.163372
0.231333	0.04	13.141232
0.232000	0.04	13.116441
0.232667	0.04	13.118450
0.233333	0.04	13.123138
0.234000	0.04	13.149280
0.234667	0.04	13.169415
0.235333	0.04	13.151287
0.236000	0.04	13.154645
0.236667	0.04	13.178150
0.237333	0.04	13.181515
0.238000	0.04	13.169415
0.238667	0.04	13.209106
0.239333	0.04	13.188240
0.240000	0.04	13.175451
0.240667	0.04	13.171423
0.241333	0.04	13.203728
0.242000	0.04	13.188240
