File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/202.smp/FID.channel/FID.chm
Channel	FID

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	67
Position	3
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	29-Apr-25
Injection Time	16:12:05
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	30001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	12.362480
Signal Max.	141.091187
Channel	FID
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.04
Max. Step (s)	0.04
Average Step (s)	0.04

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	12.738674
0.000667	0.04	12.718550
0.001333	0.04	12.712071
0.002000	0.04	12.724388
0.002667	0.04	12.701050
0.003333	0.04	12.697174
0.004000	0.04	12.727636
0.004667	0.04	12.688115
0.005333	0.04	12.708179
0.006000	0.04	12.733465
0.006667	0.04	12.715318
0.007333	0.04	12.745824
0.008000	0.04	12.777056
0.008667	0.04	12.732837
0.009333	0.04	12.754272
0.010000	0.04	12.787497
0.010667	0.04	12.804447
0.011333	0.04	12.805107
0.012000	0.04	12.814243
0.012667	0.04	12.828645
0.013333	0.04	12.810325
0.014000	0.04	12.768584
0.014667	0.04	12.717251
0.015333	0.04	12.694581
0.016000	0.04	12.655802
0.016667	0.04	12.650002
0.017333	0.04	12.650634
0.018000	0.04	12.670011
0.018667	0.04	12.658387
0.019333	0.04	12.689397
0.020000	0.04	12.661612
0.020667	0.04	12.688115
0.021333	0.04	12.698470
0.022000	0.04	12.712071
0.022667	0.04	12.708827
0.023333	0.04	12.712708
0.024000	0.04	12.734780
0.024667	0.04	12.749722
0.025333	0.04	12.756878
0.026000	0.04	12.797926
0.026667	0.04	12.773801
0.027333	0.04	12.786830
0.028000	0.04	12.792046
0.028667	0.04	12.820787
0.029333	0.04	12.783581
