File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/533.smp/FID.channel/FID.chm
Channel	FID

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	9
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	28-Apr-25
Injection Time	19:36:48
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	30001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	12.221515
Signal Max.	119.420212
Channel	FID
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.04
Max. Step (s)	0.04
Average Step (s)	0.04

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	12.510180
0.000667	0.04	12.471328
0.001333	0.04	12.501263
0.002000	0.04	12.492344
0.002667	0.04	12.502525
0.003333	0.04	12.468158
0.004000	0.04	12.486606
0.004667	0.04	12.505072
0.005333	0.04	12.484056
0.006000	0.04	12.458634
0.006667	0.04	12.442127
0.007333	0.04	12.484056
0.008000	0.04	12.476437
0.008667	0.04	12.447840
0.009333	0.04	12.469431
0.010000	0.04	12.460528
0.010667	0.04	12.455447
0.011333	0.04	12.435156
0.012000	0.04	12.467529
0.012667	0.04	12.426925
0.013333	0.04	12.378861
0.014000	0.04	12.344841
0.014667	0.04	12.326612
0.015333	0.04	12.325359
0.016000	0.04	12.289596
0.016667	0.04	12.320962
0.017333	0.04	12.347369
0.018000	0.04	12.332262
0.018667	0.04	12.364985
0.019333	0.04	12.373827
0.020000	0.04	12.357433
0.020667	0.04	12.405400
0.021333	0.04	12.402866
0.022000	0.04	12.404140
0.022667	0.04	12.387073
0.023333	0.04	12.424374
0.024000	0.04	12.390229
0.024667	0.04	12.434527
0.025333	0.04	12.391487
0.026000	0.04	12.409826
0.026667	0.04	12.421844
0.027333	0.04	12.375715
0.028000	0.04	12.403500
0.028667	0.04	12.383911
0.029333	0.04	12.394650
