File Path	chrom://uu-fts-mto-2-pc/ChromeleonLocal/machine data/Ramon/Robin/Annemarie/20250428-Co10TiO2-20Bar-10Co_20H2_3Ar_7N2-410Red-220FTS/1-100-202504288-Co10TiO2-20Bar-10CO_20H2_3Ar_7N2-410Red-220FTS.seq/886.smp/TCD_AuxRight.channel/TCD_AuxRight.chm
Channel	TCD_AuxRight

Injection Information:
Data Vault	ChromeleonLocal
Injection	20230523_AK001_CO2
Injection Number	7
Position	1
Comment	
Processing Method	PW 20220328 final_Angela_wip_Ni
Instrument Method	IM_new_FID_column PW_AMshort_isotherm_170C
Type	Unknown
Status	Finished
Injection Date	28-Apr-25
Injection Time	18:54:13
Injection Volume (µl)	1.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	20.000000
Data Points	12001
Detector	GC
Generating Data System	Chromeleon 7.2.2.6909
Exporting Data System	Chromeleon 7.2.2.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	mV
Signal Min.	-8.816803
Signal Max.	298.702057
Channel	TCD_AuxRight
Driver Name	Trace1300Driver.dll
Channel Type	Evaluation
Min. Step (s)	0.1
Max. Step (s)	0.1
Average Step (s)	0.1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (mV)
0.000000	n.a.	0.021180
0.001667	0.1	0.021604
0.003333	0.1	0.022261
0.005000	0.1	0.022647
0.006667	0.1	0.022917
0.008333	0.1	0.022955
0.010000	0.1	0.022762
0.011667	0.1	0.022762
0.013333	0.1	0.022762
0.015000	0.1	0.022762
0.016667	0.1	0.022762
0.018333	0.1	0.022762
0.020000	0.1	0.022762
0.021667	0.1	0.022762
0.023333	0.1	0.022762
0.025000	0.1	0.022762
0.026667	0.1	0.022762
0.028333	0.1	0.022762
0.030000	0.1	0.022762
0.031667	0.1	0.022762
0.033333	0.1	0.022762
0.035000	0.1	0.022762
0.036667	0.1	0.022762
0.038333	0.1	0.022762
0.040000	0.1	0.022762
0.041667	0.1	0.022762
0.043333	0.1	0.022762
0.045000	0.1	0.022762
0.046667	0.1	0.022762
0.048333	0.1	0.022762
0.050000	0.1	0.022762
0.051667	0.1	0.022762
0.053333	0.1	0.022762
0.055000	0.1	0.022762
0.056667	0.1	0.022762
0.058333	0.1	0.022762
0.060000	0.1	0.022762
0.061667	0.1	0.022762
0.063333	0.1	0.022762
0.065000	0.1	0.022762
0.066667	0.1	0.022762
0.068333	0.1	0.022762
0.070000	0.1	0.022762
0.071667	0.1	0.022762
0.073333	0.1	0.022762
0.075000	0.1	0.022762
0.076667	0.1	0.022762
0.078333	0.1	0.022762
0.080000	0.1	0.022762
0.081667	0.1	0.022762
0.083333	0.1	0.022762
0.085000	0.1	0.022762
0.086667	0.1	0.022762
0.088333	0.1	0.022762
0.090000	0.1	0.022762
0.091667	0.1	0.022762
0.093333	0.1	0.022762
0.095000	0.1	0.022762
0.096667	0.1	0.022762
0.098333	0.1	0.022762
0.100000	0.1	0.022762
0.101667	0.1	0.022762
0.103333	0.1	0.022762
0.105000	0.1	0.022762
0.106667	0.1	0.022762
0.108333	0.1	0.022762
0.110000	0.1	0.022762
0.111667	0.1	0.022762
0.113333	0.1	0.022762
0.115000	0.1	0.022762
0.116667	0.1	0.022762
0.118333	0.1	0.022762
0.120000	0.1	0.022762
0.121667	0.1	0.022762
0.123333	0.1	0.022762
0.125000	0.1	0.022762
0.126667	0.1	0.022762
0.128333	0.1	0.022762
0.130000	0.1	0.022762
0.131667	0.1	0.022762
0.133333	0.1	0.022762
0.135000	0.1	0.022762
0.136667	0.1	0.022762
0.138333	0.1	0.022762
0.140000	0.1	0.022762
0.141667	0.1	0.022762
0.143333	0.1	0.022762
0.145000	0.1	0.022762
0.146667	0.1	0.022762
0.148333	0.1	0.022762
0.150000	0.1	0.022762
0.151667	0.1	0.022762
0.153333	0.1	0.022762
0.155000	0.1	0.022762
0.156667	0.1	0.022762
0.158333	0.1	-0.017824
0.160000	0.1	-0.028048
0.161667	0.1	-0.026080
0.163333	0.1	-0.023958
0.165000	0.1	-0.020718
0.166667	0.1	-0.020254
0.168333	0.1	-0.017554
0.170000	0.1	-0.015239
0.171667	0.1	-0.014044
0.173333	0.1	-0.012500
0.175000	0.1	-0.009606
0.176667	0.1	-0.006867
0.178333	0.1	-0.004244
0.180000	0.1	-0.002315
0.181667	0.1	0.000309
0.183333	0.1	0.001697
0.185000	0.1	0.006096
0.186667	0.1	0.007831
0.188333	0.1	0.009761
0.190000	0.1	0.012500
0.191667	0.1	0.014429
0.193333	0.1	0.017206
0.195000	0.1	0.020292
0.196667	0.1	0.022453
0.198333	0.1	0.025925
0.200000	0.1	0.028434
0.201667	0.1	0.031636
0.203333	0.1	0.035917
0.205000	0.1	0.042438
0.206667	0.1	0.045254
0.208333	0.1	0.046605
0.210000	0.1	0.048996
0.211667	0.1	0.049421
0.213333	0.1	0.052006
0.215000	0.1	0.054745
0.216667	0.1	0.057175
0.218333	0.1	0.058642
0.220000	0.1	0.062230
0.221667	0.1	0.064314
0.223333	0.1	0.066628
0.225000	0.1	0.070177
0.226667	0.1	0.074305
0.228333	0.1	0.076581
0.230000	0.1	0.080015
0.231667	0.1	0.082908
0.233333	0.1	0.085802
0.235000	0.1	0.089467
0.236667	0.1	0.091821
0.238333	0.1	0.093672
0.240000	0.1	0.097916
0.241667	0.1	0.100270
0.243333	0.1	0.103162
0.245000	0.1	0.106751
0.246667	0.1	0.111188
0.248333	0.1	0.114930
0.250000	0.1	0.118170
0.251667	0.1	0.121256
0.253333	0.1	0.124807
0.255000	0.1	0.128973
0.256667	0.1	0.133024
0.258333	0.1	0.136380
0.260000	0.1	0.140393
0.261667	0.1	0.143749
0.263333	0.1	0.147877
0.265000	0.1	0.150848
0.266667	0.1	0.154165
0.268333	0.1	0.158332
0.270000	0.1	0.161920
0.271667	0.1	0.164505
0.273333	0.1	0.167668
0.275000	0.1	0.172375
0.276667	0.1	0.176156
0.278333	0.1	0.180516
0.280000	0.1	0.183487
0.281667	0.1	0.187807
0.283333	0.1	0.192515
0.285000	0.1	0.197298
0.286667	0.1	0.201155
0.288333	0.1	0.204088
0.290000	0.1	0.209027
0.291667	0.1	0.212730
0.293333	0.1	0.216241
0.295000	0.1	0.221333
0.296667	0.1	0.225848
0.298333	0.1	0.228896
0.300000	0.1	0.232213
0.301667	0.1	0.235878
0.303333	0.1	0.240584
0.305000	0.1	0.244597
0.306667	0.1	0.249226
0.308333	0.1	0.253162
0.310000	0.1	0.257985
0.311667	0.1	0.262382
0.313333	0.1	0.266125
0.315000	0.1	0.272067
0.316667	0.1	0.275654
0.318333	0.1	0.278084
0.320000	0.1	0.281363
0.321667	0.1	0.286379
0.323333	0.1	0.289350
0.325000	0.1	0.293131
0.326667	0.1	0.298108
0.328333	0.1	0.301888
0.330000	0.1	0.306634
0.331667	0.1	0.310107
0.333333	0.1	0.315082
0.335000	0.1	0.319827
0.336667	0.1	0.325384
0.338333	0.1	0.329010
0.340000	0.1	0.332676
0.341667	0.1	0.337035
0.343333	0.1	0.341510
0.345000	0.1	0.346332
0.346667	0.1	0.350653
0.348333	0.1	0.355824
0.350000	0.1	0.359951
0.351667	0.1	0.363926
0.353333	0.1	0.366896
0.355000	0.1	0.373492
0.356667	0.1	0.376154
0.358333	0.1	0.380669
0.360000	0.1	0.385221
0.361667	0.1	0.389156
0.363333	0.1	0.393014
0.365000	0.1	0.397104
0.366667	0.1	0.401115
0.368333	0.1	0.403894
0.370000	0.1	0.408832
0.371667	0.1	0.413809
0.373333	0.1	0.418515
0.375000	0.1	0.422374
0.376667	0.1	0.426773
0.378333	0.1	0.430476
0.380000	0.1	0.435297
0.381667	0.1	0.440005
0.383333	0.1	0.444095
0.385000	0.1	0.448377
0.386667	0.1	0.453007
0.388333	0.1	0.456208
0.390000	0.1	0.460722
0.391667	0.1	0.464619
0.393333	0.1	0.468709
0.395000	0.1	0.472413
0.396667	0.1	0.477118
0.398333	0.1	0.481672
0.400000	0.1	0.486378
0.401667	0.1	0.490391
0.403333	0.1	0.494634
0.405000	0.1	0.499959
0.406667	0.1	0.501888
0.408333	0.1	0.505514
0.410000	0.1	0.510992
0.411667	0.1	0.514774
0.413333	0.1	0.520753
0.415000	0.1	0.524804
0.416667	0.1	0.528932
0.418333	0.1	0.532674
0.420000	0.1	0.537883
0.421667	0.1	0.541972
0.423333	0.1	0.546370
0.425000	0.1	0.549765
0.426667	0.1	0.554935
0.428333	0.1	0.557327
0.430000	0.1	0.561532
0.431667	0.1	0.566316
0.433333	0.1	0.570444
0.435000	0.1	0.573993
0.436667	0.1	0.578006
0.438333	0.1	0.582636
0.440000	0.1	0.585683
0.441667	0.1	0.589696
0.443333	0.1	0.594557
0.445000	0.1	0.598299
0.446667	0.1	0.603044
0.448333	0.1	0.607019
0.450000	0.1	0.609949
0.451667	0.1	0.614039
0.453333	0.1	0.617820
0.455000	0.1	0.620443
0.456667	0.1	0.623723
0.458333	0.1	0.627774
0.460000	0.1	0.631941
0.461667	0.1	0.636415
0.463333	0.1	0.640659
0.465000	0.1	0.642512
0.466667	0.1	0.648259
0.468333	0.1	0.651539
0.470000	0.1	0.655012
0.471667	0.1	0.658716
0.473333	0.1	0.662920
0.475000	0.1	0.666586
0.476667	0.1	0.670637
0.478333	0.1	0.673838
0.480000	0.1	0.676809
0.481667	0.1	0.681245
0.483333	0.1	0.684910
0.485000	0.1	0.687727
0.486667	0.1	0.690853
0.488333	0.1	0.693167
0.490000	0.1	0.696870
0.491667	0.1	0.700882
0.493333	0.1	0.703737
0.495000	0.1	0.707248
0.496667	0.1	0.711646
0.498333	0.1	0.714772
0.500000	0.1	0.717164
0.501667	0.1	0.720636
0.503333	0.1	0.724030
0.505000	0.1	0.728119
0.506667	0.1	0.732017
0.508333	0.1	0.735104
0.510000	0.1	0.738498
0.511667	0.1	0.742434
0.513333	0.1	0.746368
0.515000	0.1	0.749340
0.516667	0.1	0.752503
0.518333	0.1	0.757325
0.520000	0.1	0.760644
0.521667	0.1	0.765388
0.523333	0.1	0.768128
0.525000	0.1	0.771368
0.526667	0.1	0.774956
0.528333	0.1	0.778158
0.530000	0.1	0.783251
0.531667	0.1	0.787919
0.533333	0.1	0.789424
0.535000	0.1	0.792047
0.536667	0.1	0.796406
0.538333	0.1	0.800111
0.540000	0.1	0.802888
0.541667	0.1	0.805821
0.543333	0.1	0.808329
0.545000	0.1	0.810450
0.546667	0.1	0.813229
0.548333	0.1	0.817588
0.550000	0.1	0.820520
0.551667	0.1	0.824879
0.553333	0.1	0.828275
0.555000	0.1	0.830898
0.556667	0.1	0.834909
0.558333	0.1	0.837147
0.560000	0.1	0.839694
0.561667	0.1	0.843281
0.563333	0.1	0.845983
0.565000	0.1	0.848066
0.566667	0.1	0.851383
0.568333	0.1	0.855473
0.570000	0.1	0.858636
0.571667	0.1	0.861569
0.573333	0.1	0.865350
0.575000	0.1	0.869014
0.576667	0.1	0.871213
0.578333	0.1	0.873760
0.580000	0.1	0.876731
0.581667	0.1	0.880473
0.583333	0.1	0.882864
0.585000	0.1	0.886491
0.586667	0.1	0.889886
0.588333	0.1	0.892200
0.590000	0.1	0.894708
0.591667	0.1	0.898836
0.593333	0.1	0.901152
0.595000	0.1	0.904393
0.596667	0.1	0.907324
0.598333	0.1	0.909407
0.600000	0.1	0.911761
0.601667	0.1	0.915812
0.603333	0.1	0.918552
0.605000	0.1	0.920326
0.606667	0.1	0.924261
0.608333	0.1	0.927154
0.610000	0.1	0.930936
0.611667	0.1	0.934485
0.613333	0.1	0.936569
0.615000	0.1	0.939615
0.616667	0.1	0.943242
0.618333	0.1	0.946445
0.620000	0.1	0.949685
0.621667	0.1	0.952811
0.623333	0.1	0.955820
0.625000	0.1	0.959099
0.626667	0.1	0.962070
0.628333	0.1	0.963112
0.630000	0.1	0.966429
0.631667	0.1	0.969091
0.633333	0.1	0.972023
0.635000	0.1	0.973759
0.636667	0.1	0.975881
0.638333	0.1	0.978118
0.640000	0.1	0.981052
0.641667	0.1	0.984330
0.643333	0.1	0.987377
0.645000	0.1	0.990657
0.646667	0.1	0.993743
0.648333	0.1	0.996174
0.650000	0.1	0.998836
0.651667	0.1	1.002193
0.653333	0.1	1.005318
0.655000	0.1	1.008905
0.656667	0.1	1.011876
0.658333	0.1	1.014461
0.660000	0.1	1.016467
0.661667	0.1	1.019554
0.663333	0.1	1.021174
0.665000	0.1	1.022756
0.666667	0.1	1.025727
0.668333	0.1	1.027193
0.670000	0.1	1.029893
0.671667	0.1	1.032903
0.673333	0.1	1.036143
0.675000	0.1	1.037493
0.676667	0.1	1.039692
0.678333	0.1	1.042471
0.680000	0.1	1.044977
0.681667	0.1	1.047254
0.683333	0.1	1.049685
0.685000	0.1	1.051845
0.686667	0.1	1.054662
0.688333	0.1	1.056668
0.690000	0.1	1.059214
0.691667	0.1	1.062070
0.693333	0.1	1.064809
0.695000	0.1	1.067739
0.696667	0.1	1.069861
0.698333	0.1	1.073141
0.700000	0.1	1.074723
0.701667	0.1	1.076999
0.703333	0.1	1.077501
0.705000	0.1	1.080047
0.706667	0.1	1.082015
0.708333	0.1	1.085256
0.710000	0.1	1.087724
0.711667	0.1	1.089693
0.713333	0.1	1.090888
0.715000	0.1	1.092741
0.716667	0.1	1.095711
0.718333	0.1	1.097524
0.720000	0.1	1.100493
0.721667	0.1	1.103311
0.723333	0.1	1.105047
0.725000	0.1	1.107477
0.726667	0.1	1.108866
0.728333	0.1	1.111798
0.730000	0.1	1.114884
0.731667	0.1	1.116736
0.733333	0.1	1.120518
0.735000	0.1	1.121636
0.736667	0.1	1.124723
0.738333	0.1	1.127193
0.740000	0.1	1.129391
0.741667	0.1	1.132092
0.743333	0.1	1.133788
0.745000	0.1	1.135641
0.746667	0.1	1.138805
0.748333	0.1	1.142700
0.750000	0.1	1.143357
0.751667	0.1	1.146444
0.753333	0.1	1.148913
0.755000	0.1	1.151228
0.756667	0.1	1.153928
0.758333	0.1	1.155241
0.760000	0.1	1.158827
0.761667	0.1	1.160717
0.763333	0.1	1.162069
0.765000	0.1	1.163111
0.766667	0.1	1.166196
0.768333	0.1	1.167354
0.770000	0.1	1.170170
0.771667	0.1	1.170517
0.773333	0.1	1.172291
0.775000	0.1	1.174761
0.776667	0.1	1.175842
